"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Z","macroalgae","inverts","seagrass","mean_relief","slope","detrended","roughness","cumsum.wi"
"greater than Lm carnivores.detrended+macroalgae+slope","detrended+macroalgae+slope",291.000749195882,319.020494164411,0.02451,NA,5.98,0,0,3.032,0.344,0.072,0,1,0,0,0,1,1,0,0.344
"greater than Lm carnivores.inverts+macroalgae+slope","inverts+macroalgae+slope",291.349762796443,317.311590975451,0.02316,NA,5.44,0,0.349,1.323,0.289,0.169,0,1,1,0,0,1,0,0,0.633
"greater than Lm carnivores.inverts+mean_relief+slope","inverts+mean_relief+slope",292.898808321219,318.573650914602,0.02039,NA,5.5,0,1.898,2.585,0.133,0.09,0,0,1,0,1,1,0,0,0.766
"smaller than Lm carnivores.inverts+roughness+seagrass","inverts+roughness+seagrass",567.415739182942,593.533048395681,0.10717,NA,5.7,0,0,4.813,0.275,0.029,0,0,1,1,0,0,0,1,0.275
"smaller than Lm carnivores.inverts+seagrass+slope","inverts+seagrass+slope",568.796114813392,594.965763747883,0.10107,NA,5.73,0,1.38,6.246,0.138,0.014,0,0,1,1,0,1,0,0,0.413
"smaller than Lm carnivores.roughness+seagrass","roughness+seagrass",568.927123763142,588.720056783917,0.07717,NA,3.91,0,1.511,0,0.129,0.316,0,0,0,1,0,0,0,1,0.542
"smaller than Lm carnivores.detrended+roughness+seagrass","detrended+roughness+seagrass",569.032114143973,592.059832508483,0.08808,NA,4.91,0,1.616,3.34,0.123,0.06,0,0,0,1,0,0,1,1,0.665
