"scientific","australian.common.name","fishing.type"
"Centroberyx lineatus","Swallowtail","C/R"
"Pseudocaranx spp",NA,"R"
"Seriola hippos","Samsonfish","C/R"
"Seriola lalandi","Yellowtail kingfish","C/R"
"Trachurus novaezelandiae","Yellowtail scad","B/C/R"
"Nemadactylus valenciennesi","Blue morwong","C/R"
"Dinolestes lewini","Longfin Pike","C/R"
"Glaucosoma hebraicum","West Australian dhufish","C/R"
"Girella zebra","Zebrafish","B/C/R"
"Achoerodus gouldii","Western blue groper","R"
"Bodianus frenchii","Foxfish","C/R"
"Choerodon rubescens","Baldchin groper","C/R"
"Isurus oxyrinchus","Shortfin mako","C/R"
"Meuschenia australis","Brownstriped leatherjacket","B/C/R"
"Meuschenia venusta","Stars-and-stripes leatherjacket","B/C/R"
"Pseudorhombus spp",NA,"R"
"Paristiopterus gallipavo","Yellowspotted boarfish","C/R"
"Platycephalus spp",NA,"R"
"Cnidoglanis macrocephalus","Estuary Cobbler","C/R"
"Scomber australasicus","Blue mackerel","C/R"
"Scorpis aequipinnis","Sea sweep","C/R"
"Scorpis georgiana","Banded sweep","C/R"
"Epinephelides armatus","Breaksea cod","C/R"
"Othos dentex","Harlequin fish","C/R"
"Sillaginodes punctatus","King George whiting","C/R"
"Sillaginodes spp",NA,"R"
"Sillago schomburgkii","Yellowfin whiting","C/R"
"Sillago spp",NA,"R"
"Chrysophrys auratus","Pink snapper","C/R"
"Rhabdosargus sarba","Tarwhine","C/R"
"Sphyrna zygaena","Smooth hammerhead","C"
"Furgaleus macki","Whiskery shark","C"
"Galeorhinus galeus","School shark","C/R"
"Zeus faber","John dory","C"
