"","Z","macroalgae","inverts","seagrass","mean_relief","slope","detrended","roughness"
"greater than Lm carnivores",0.05,0.635,0.617,0.066,0.133,0.997,0.411,0
"smaller than Lm carnivores",0.028,0.018,0.514,0.891,0.087,0.282,0.251,0.625
