CODE,DESCRIPTION,FUNCTIONAL GROUP
CBBNAAspkar,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Arborescent: Bramble Asperaxis Kareni,11168904_3
CBBNAPR,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Arborescent: Paragorgia like Red,11168904_4
CBNB,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Bottle-Brush,11168905_1
CBNBS,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Bottle-Brush: Simple,11168906_1
CBNBC,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Bottle-Brush: Complex,11168907_1
CBNBCO,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Bottle-Brush: Complex: Branching Grey Octocoral,11168907_2
CBNBU,Cnidaria: Corals: Black & Octocorals: Branching (3D): Non-Fleshy: Bushy,11168908_1
CBBF,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy,11168909_1
CBBFM,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Mushroom,11168910_1
CBBFMA,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Mushroom: Anthomastus Like Coral,11168910_2
CBBFA,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent,11168911_1
CBBFAC2,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent: Coral 2 Soft Capnella Like,11168911_2
CBBFAC6,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent: Coral 6 Soft Blue,11168911_3
CBBFAC3,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent: Soft Coral 3 Dark Red,11168911_4
CBBFASP,Cnidaria: Corals: Black & Octocorals: Branching (3D): Fleshy: Arborescent: Soft Purple,11168911_5
CBF,Cnidaria: Corals: Black & Octocorals: Fan (2D),11168912_1
CBFF,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond,11168913_1
CBFFS,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Simple,11168914_1
CBFFSBRB,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Simple: Arborescent: Blackish Fern Branch,11168914_2
CBFFC,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex,11168915_1
CBFFGP1,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex: Gorgonian Pink,11168915_2
CBFFGR2,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex: Gorgonian Red,11168915_3
CBFFDP,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex: Dark purple octocoral,11168915_4
CBFFML,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex: Gorganian Red Mopsella like,11168915_5
CBFFBRC,Cnidaria: Corals: Black & Octocorals: Fan (2D): Fern-Frond: Complex: Blackish Red Complex Fern,11168915_6
CBFR,Cnidaria: Corals: Black & Octocorals: Fan (2D): Rigid,11168916_1
CBW,Cnidaria: Corals: Black & Octocorals: Whip,11168917_1
CBWS1,Cnidaria: Corals: Black & Octocorals: Whip: Sea Whip,11168917_2
CBQ,Cnidaria: Corals: Black & Octocorals: Quill (Seapen),11168918_1
CBE,Cnidaria: Corals: Black & Octocorals: Encrusting,11168919_1
CBM,Cnidaria: Corals: Black & Octocorals: Massive Soft Corals,11168920_1
CBBH,Cnidaria: Corals: Black & Octocorals: Blue Coral (Heliopora),11171000_1
CBOT,Cnidaria: Corals: Black & Octocorals: Organ Pipe Coral (Tubipora),11201901_1
CNTR,Cnidaria: True Anemones,11229000_1
CNTRGSEL,Cnidaria: True Anemones: Grey Striated Edwardsia Like,11229000_2
CNTFT,Cnidaria: True Anemones: Flytrap,11229901_1
CNTFL,Cnidaria: True Anemones: Fourlobed,11229902_1
CNTRO,Cnidaria: True Anemones: Other Anemones,11229903_1
CNTROAnesp1,Cnidaria: True Anemones: Other Anemones: Anemone Sp1,11229903_2
CNCAC,Cnidaria: Colonial Anemones: Corallimorphs,11280000_1
CNCAZ,Cnidaria: Colonial Anemones: Zoanthids,11284000_1
CNCAZParsp1,Cnidaria: Colonial Anemones: Zoanthids: Parazoanthus 1,11284000_2
CNCAZZ1Epi,Cnidaria: Colonial Anemones: Zoanthids: Zooanthid 1 Cf Epizooanthus,11284000_3
CS,Cnidaria: Corals: Stony Corals,11290000_1
CSB,Cnidaria: Corals: Stony Corals: Bleached,11290000_2
CSSO,Cnidaria: Corals: Stony Corals: Solitary,11290901_1
CSSOB,Cnidaria: Corals: Stony Corals: Solitary: Bleached,11290901_2
CSSOF,Cnidaria: Corals: Stony Corals: Solitary: Free-Living,11290902_1
CSSOFB,Cnidaria: Corals: Stony Corals: Solitary: Free-Living: Bleached,11290902_2
CSSOA,Cnidaria: Corals: Stony Corals: Solitary: Attached,11290903_1
CSSOAB,Cnidaria: Corals: Stony Corals: Solitary: Attached: Bleached,11290903_2
CSBO,Cnidaria: Corals: Stony Corals: Bottlebrush,11290904_1
CSBOB,Cnidaria: Corals: Stony Corals: Bottlebrush: Bleached,11290904_2
CSSU,Cnidaria: Corals: Stony Corals: Sub-Massive,11290905_1
CSSUB,Cnidaria: Corals: Stony Corals: Sub-Massive: Bleached,11290905_2
CSM,Cnidaria: Corals: Stony Corals: Massive,11290906_1
CSMB,Cnidaria: Corals: Stony Corals: Massive: Bleached,11290906_2
CSF,Cnidaria: Corals: Stony Corals: Foliose / Plate,11290907_1
CSFB,Cnidaria: Corals: Stony Corals: Foliose / Plate: Bleached,11290907_2
CSE,Cnidaria: Corals: Stony Corals: Encrusting,11290908_1
CSEB,Cnidaria: Corals: Stony Corals: Encrusting: Bleached,11290908_2
CSD,Cnidaria: Corals: Stony Corals: Digitate,11290909_1
CSDB,Cnidaria: Corals: Stony Corals: Digitate: Bleached,11290909_2
CSCOR,Cnidaria: Corals: Stony Corals: Corymbose,11290910_1
CSCORB,Cnidaria: Corals: Stony Corals: Corymbose: Bleached,11290910_2
CST,Cnidaria: Corals: Stony Corals: Tabulate,11290911_1
CSTB,Cnidaria: Corals: Stony Corals: Tabulate: Bleached,11290911_2
CSBR,Cnidaria: Corals: Stony Corals: Branching,11290912_1
CSBRB,Cnidaria: Corals: Stony Corals: Branching: Bleached,11290912_2
CSST,Cnidaria: Corals: Stony Corals: Staghorn,11290913_1
CSSTB,Cnidaria: Corals: Stony Corals: Staghorn: Bleached,11290913_2
CSCOL,Cnidaria: Corals: Stony Corals: Columnar,11290915_1
CSCOLB,Cnidaria: Corals: Stony Corals: Columnar: Bleached,11290915_2
CSSOM,Cnidaria: Corals: Stony Corals: Solitary: Mushroom (Fungiidae),11298000_1
CSSOMOS,Cnidaria: Corals: Stony Corals: Solitary: Mushroom (Fungiidae): Coral Orange Solitary,11298000_2
CN,Cnidaria,11500000_1
CN/BRY/HYDH1,Cnidaria: Bryozoa / Cnidaria / Hydroid: Hydroid Dark Grey,11500000_2
CNCA,Cnidaria: Colonial Anemones,11500901_1
JCT,Jellies: Ctenophores,12000000_1
WF,Worms: Flatworms,13000000_1
WFFWsp1,Worms: Flatworms: Flatworm White Sp1,13000000_2
WPE,Worms: Penisworms,15400000_1
WES,Worms: Sipuncula,17000000_1
WEE,Worms: Echiura,17020000_1
BRA,Brachiopods,19100000_1
BRY,Bryozoa,20000000_1
BRYCNIHYDH1,Bryozoa: Bryozoa / Cnidaria: Hydroid: Hydroid Dark Grey,20000000_2
BRYSPOMAT,Bryozoa: Bryozoa / Sponge Matrix,20000000_3
BRYH,Bryozoa: Hard,20000901_1
BRYHE,Bryozoa: Hard: Encrusting,20000902_1
BRYHF,Bryozoa: Hard: Fenestrate,20000903_1
BRYHFBHS,Bryozoa: Hard: Fenestrate: Bryozoa Hard Sparce,20000903_2
BRYHFBSL1,Bryozoa: Hard: Fenestrate: Bryozoan Steginoprella Like,20000903_3
BRYHFBHCL4,Bryozoa: Hard: Fenestrate: Bryozoan Hard Celleporaria Like,20000903_4
BRYHFBL5,Bryozoa: Hard: Fenestrate: Bryozoan Lace,20000903_5
BRYHFBH7,Bryozoa: Hard: Fenestrate: Bryozoan Hard,20000903_6
BRYHFBAdegri,Bryozoa: Hard: Fenestrate: Bryozoan Adeona Grisea,20000903_7
BRYHFBWLF,Bryozoa: Hard: Fenestrate: Bryozoan White Lace Fan,20000903_8
BRYHFBPL,Bryozoa: Hard: Fenestrate: Bryozoan Purple Lettuce,20000903_9
BRYHM,Bryozoa: Hard: Massive,20000904_1
BRYS,Bryozoa: Soft,20000905_1
BRYSD,Bryozoa: Soft: Dendroid,20000906_1
BRYSDSRBD,Bryozoa: Soft: Dendroid: Soft Red-Brown Dendroid,20000906_2
BRYSF,Bryozoa: Soft: Foliaceous,20000907_1
BRYSFBSOL5,Bryozoa: Soft: Foliaceous: Bryozoan Soft Orthoscuticella Like,20000907_2
BRYSFBSAL,Bryozoa: Soft: Foliaceous: Bryozoan Soft Amathia Like,20000907_3
BRYSFBSBF,Bryozoa: Soft: Foliaceous: Bryozoan Soft Beige Fluffy,20000907_4
BRYSFBSDR,Bryozoa: Soft: Foliaceous: Bryozoan Soft Dark Red,20000907_5
BRYSFBSO,Bryozoa: Soft: Foliaceous: Bryozoan Soft Orange,20000907_6
BRYSFBSPW,Bryozoa: Soft: Foliaceous: Bryozoan Soft Pinky White,20000907_7
BRYSFBUS,Bryozoa: Soft: Foliaceous: Bryozoan Unknown Soft,20000907_8
BRYSFBSGP,Bryozoa: Soft: Foliaceous: Bryozoan Soft Grey Pink,20000907_9
BRYHB,Bryozoa: Hard: Branching,20000908_1
WPO,Worms: Polychaetes,22000000_1
WPOTWFSeb,Worms: Polychaetes: Tube Worms: Fanworm Sabella Like.,22000000_2
WPOTWTWsp1,Worms: Polychaetes: Tube Worms: Tube Worm Sp1,22000000_3
WPOT,Worms: Polychaetes: Tube Worms,22000901_1
WPOO,Worms: Polychaetes: Other Polychaetes,22000902_1
MO,Molluscs,23000000_1
MOCH,Molluscs: Chitons,23100000_1
MOB,Molluscs: Bivalves,23199000_1
MOBS,Molluscs: Bivalves: Scallop,23199000_2
MOCE,Molluscs: Cephalopods,23590000_1
MOCEC,Molluscs: Cephalopods: Cuttlefish,23607000_1
MOCES,Molluscs: Cephalopods: Squid,23615000_1
MOCEO,Molluscs: Cephalopods: Octopods,23650000_1
MOG,Molluscs: Gastropods,24000000_1
MOGAb,Molluscs: Gastropods: Abalone,24000000_2
MOGNZ,Molluscs: Gastropods: Nz Screw Shell,24000000_3
MOGSS,Molluscs: Gastropods: Spindle Shell,24000000_4
MOGV,Molluscs: Gastropods: Volute,24000000_5
MOGC,Molluscs: Gastropods: Cowries Zoila like,24000000_6
E,Echinoderms,25000000_1
EF,Echinoderms: Feather Stars,25001000_1
EFS,Echinoderms: Feather Stars: Stalked Crinoids,25001901_1
EFU,Echinoderms: Feather Stars: Unstalked Crinoids,25001902_1
EFUCenspp,Echinoderms: Feather Stars: Unstalked Crinoids: Cenolia Spp,25001902_2
ESS,Echinoderms: Sea Stars,25102000_1
EO,Echinoderms: Ophiuroids,25160000_1
EOBSS,Echinoderms: Ophiuroids: Brittle / Snake Stars,25160901_1
EOBS,Echinoderms: Ophiuroids: Basket Stars,25160902_1
ESU,Echinoderms: Sea Urchins,25200000_1
ESUR,Echinoderms: Sea Urchins: Regular Urchins,25200901_1
ESUI,Echinoderms: Sea Urchins: Irregular Urchins,25200902_1
ESC,Echinoderms: Sea Cucumbers,25400000_1
ESCB,Echinoderms: Sea Cucumbers: Benthic,25400901_1
ESCP,Echinoderms: Sea Cucumbers: Pelagic / Swimming,25400902_1
CR,Crustacea,27000000_1
CRB,Crustacea: Barnacles,27500000_1
CRBS,Crustacea: Barnacles: Stalked,27500901_1
CRBA,Crustacea: Barnacles: Acorn,27500902_1
CRP,Crustacea: Prawns / Shrimps / Mysids,28000901_1
CRL,Crustacea: Lobsters,28000902_1
CRC,Crustacea: Crabs,28000903_1
CRLT,Crustacea: Lobsters: True Lobsters,28786000_1
CRLR,Crustacea: Lobsters: Rock Lobsters,28820000_1
CRLRJasedw,Crustacea: Lobsters: Rock Lobsters: Jasus Edwardsii,28820000_2
CRLSL,Crustacea: Lobsters: Slipper Lobsters / Bugs,28821000_1
CRH,Crustacea: Hermit Crabs,28825901_1
CRHGS,Crustacea: Hermit Crabs: With Shell Or Stone Home,28825902_1
CRHWZ,Crustacea: Hermit Crabs: With Anemones,28825903_1
CRLSQ,Crustacea: Lobsters: Squat Lobsters,28825904_1
CRLSQE,Crustacea: Lobsters: Squat Lobsters: Squat Lobster Eumundia like,28825904_2
CRCK,Crustacea: Crabs: King Crabs,28836000_1
CRCP,Crustacea: Crabs: Porcelain Crabs,28843000_1
CRCT,Crustacea: Crabs: True Crabs,28850000_1
SS,Sea Spiders,33000000_1
A,Ascidians,35000000_1
AU,Ascidians: Unstalked,35000901_1
AUS,Ascidians: Unstalked: Solitary,35000902_1
AUSAS5,Ascidians: Unstalked: Solitary: Ascidian Solitary 5,35000902_2
AUSART6,Ascidians: Unstalked: Solitary: Ascidian Red Throated 6,35000902_3
AUSAS7,Ascidians: Unstalked: Solitary: Ascidian Solitary 7,35000902_4
AUSART,Ascidians: Unstalked: Solitary: Ascidian Red Throated,35000902_5
AUSASG,Ascidians: Unstalked: Solitary: Ascidian Solitary Grey,35000902_6
AUSAUS,Ascidians: Unstalked: Solitary: Ascidian Unknown Solitary,35000902_7
AUSASY,Ascidians: Unstalked: Solitary: Ascidian Soliary Yellow,35000902_8
AUSASOY,Ascidians: Unstalked: Solitary: Ascidian Soliary Orange-Yellow,35000902_9
AUC,Ascidians: Unstalked: Colonial,35000903_1
AUCACL1,Ascidians: Unstalked: Colonial: Ascidian Clavelina Like 1,35000903_2
AUCACP10,Ascidians: Unstalked: Colonial: Ascidian Colonial Purple,35000903_3
AUCACR12,Ascidians: Unstalked: Colonial: Ascidian Colonial Red,35000903_5
AUCACL2,Ascidians: Unstalked: Colonial: Ascidian Clavelina Like 2,35000903_6
AUCAO3,Ascidians: Unstalked: Colonial: Ascidian Orange,35000903_7
AUCASL4,Ascidians: Unstalked: Colonial: Ascidian Sycozoa Like,35000903_8
AUCAUCE,Ascidians: Unstalked: Colonial: Ascidian Unstalked Colonial Encrusting,35000903_11
AUCAUCYF,Ascidians: Unstalked: Colonial: Ascidian Unstalked Colonial Yellow Fingers,35000903_12
AS,Ascidians: Stalked,35000904_1
ASS,Ascidians: Stalked: Solitary,35000905_1
ASSASPPL,Ascidians: Stalked: Solitary: Ascidian Stalked Purple Pyura Like,35000905_2
ASC,Ascidians: Stalked: Colonial,35000906_1
JSA,Jellies: Salps,35100000_1
JP,Jellies: Pyrosomes,35101000_1
WA,Worms: Acorn Worms,36110000_1
F,Fishes,37000000_1
FELS,Fishes: Elasmobranchs: Sharks,37990016_1
FELSHetpor,Fishes: Elasmobranchs: Sharks: Heterodontus Portusjacksoni (Caab 37007001),37990016_2
FEE,Fishes: Eels,37990025_1
FELC,Fishes: Elasmobranchs: Chimaeras,37990028_1
FELR,Fishes: Elasmobranchs: Rays & Skates,37990030_1
FELRUropau,Fishes: Elasmobranchs: Rays & Skates: Urolophus Paucimaculatus (Caab 37038004),37990030_2
FELRUrocru,Fishes: Elasmobranchs: Rays & Skates: Urolophus Cruciatus (Caab 37038002),37990030_3
FEL,Fishes: Elasmobranchs,37990082_1
FB,Fishes: Bony Fishes,37990083_1
FBCaelep,"Fishes: Bony Fishes: Caesioperca Lepidoptera (Butterfly Perch, Caab 37311002)",37990083_2
FBHelper,"Fishes: Bony Fishes: Helicolenus Percoides (Red Gurnard Perch, Caab 37287001)",37990083_3
FBNeosco,"Fishes: Bony Fishes: Neosebastes scorpaenoides (Smooth Gurnard Perch, Caab 37287005)",37990083_4
FBUpevla,"Fishes: Bony Fishes: Upeneichthys vlamingii (Bluespot Goatfish, Caab 37355029)",37990083_5
FBPtepol,"Fishes: Bony Fishes: Pterygotrigla polyommata (Latchet, Caab 37288006)",37990083_6
FBParmel,"Fishes: Bony Fishes: Parequula melbournensis (Silverbelly, Caab 37349001)",37990083_7
FBPsesspp,"Fishes: Bony Fishes: Pseudophycis spp (Rock cod, Caab 37224006)",37990083_8
FBAraaur,"Fishes: Bony Fishes: Aracana aurita (Shaws cowfish, Caab 37466003)",37990083_9
FBCaeras,"Fishes: Bony Fishes: Caesioperca rasor (Barber Perch, Caab 37311003)",37990083_10
FBParmac,"Fishes: Bony Fishes: Paratrachichthys macleayi (Sandpaper fish, Caab 37255003)",37990083_11
FBParall,"Fishes: Bony Fishes: Parapercis allporti (Barred Grubfish, Caab 37390001)",37990083_12
FBLatpur,"Fishes: Bony Fishes: Latropiscis purpurissatus (Sergeant Baker, Caab 37117001)",37990083_13
FBCapuni,"Fishes: Bony Fishes: Capropygia unistriata (Spiny Boxfish, Caab 37466011)",37990083_14
FBTriSco,Fishes: Bony Fishes: Triglidae/Scorpaenidae unidentifiable (Unidentifiable gurnard form),37990083_15
FBThyutu,"Fishes: Bony Fishes: Thyrisites atun (Couta, Caab 37439001)",37990083_16
FBCytaus,"Fishes: Bony Fishes: Cyttus australis (Silver dory, Caab 37264002)",37990083_17
FBDionic,"Fishes: Bony Fishes: Diodon nicthemerus (Globe fish, Caab 37469001)",37990083_18
FBCaespp,"Fishes: Bony Fishes: Caesioperca spp (Perch, Caab 37311002/37311003)",37990083_19
SEAG,Seagrasses,63600901_1
SEAGE,Seagrasses: Elliptical Leaves,63600902_1
SEAGEH,Seagrasses: Elliptical Leaves: Halophila sp. (Caab 63600902),63600902_2
SEAGEHEA,Seagrasses: Elliptical Leaves: Halophila sp. (Caab 63600902): epiphytes: algae,63600902_3
SEAGEHEO,Seagrasses: Elliptical Leaves: Halophila sp. (Caab 63600902): epiphytes: other,63600902_4
SEAGS,Seagrasses: Strap-Like Leaves,63600903_1
SEAGSEA,Seagrasses: Strap-Like Leaves: epiphytes: algae,63600903_2
SEAGSEO,Seagrasses: Strap-Like Leaves: epiphytes: other,63600903_3
SEAGSA,Seagrasses: Strap-Like Leaves: Amphibolis sp. (Caab 63600903),63600903_4
SEAGSAEA,Seagrasses: Strap-Like Leaves: Amphibolis sp. (Caab 63600903): epiphytes: algae,63600903_5
SEAGSAEO,Seagrasses: Strap-Like Leaves: Amphibolis sp. (Caab 63600903): epiphytes: other,63600903_6
SEAGSP,Seagrasses: Strap-Like Leaves: Posidonia sp. (Caab 63600903),63600903_7
SEAGSPEA,Seagrasses: Strap-Like Leaves: Posidonia sp. (Caab 63600903): epiphytes: algae,63600903_8
SEAGSPEO,Seagrasses: Strap-Like Leaves: Posidonia sp. (Caab 63600903): epiphytes: other,63600903_9
SEAGSZ,Seagrasses: Strap-Like Leaves: Zostera sp. (Caab 63600903),63600903_10
SEAGSZEA,Seagrasses: Strap-Like Leaves: Zostera sp. (Caab 63600903): epiphytes: algae,63600903_11
SEAGSZEO,Seagrasses: Strap-Like Leaves: Zostera sp. (Caab 63600903): epiphytes: other,63600903_12
SEAGSR,Seagrasses: Strap-Like Leaves: Rupia sp. (Caab 63600903),63600903_13
SEAGSREA,Seagrasses: Strap-Like Leaves: Rupia sp. (Caab 63600903): epiphytes: algae,63600903_14
SEAGSREO,Seagrasses: Strap-Like Leaves: Rupia sp. (Caab 63600903): epiphytes: other,63600903_15
BMC,Bacterial Mats: Cyanobacteria,70000901_1
BM,Bacterial Mats,72000901_1
BMO,Bacterial Mats: Other,72000902_1
BIOTA,Biota,80000000_1
BGUB,Biota: General Unknown Biology,80000000_2
MA,Macroalgae,80300000_1
MAD,Macroalgae: Drift Algae,80300000_2
MALC,Macroalgae: Large Canopy-Forming,80300901_1
MALCB,Macroalgae: Large Canopy-Forming: Brown,80300902_1
MALCBOCF,Macroalgae: Large Canopy-Forming: Brown: Brown Other Canopy Forming Sp,80300902_2
MALCBEckrad,Macroalgae: Large Canopy-Forming: Brown: Ecklonia Radiata,80300902_3
MALCBPhyspp,Macroalgae: Large Canopy-Forming: Brown: Phyllospora Spp,80300902_4
MAEC,Macroalgae: Erect Coarse Branching,80300903_1
MAECB,Macroalgae: Erect Coarse Branching: Brown,80300904_1
MAECBD,Macroalgae: Erect Coarse Branching: Brown: Drift,80300904_2
MAECBSarspp,Macroalgae: Erect Coarse Branching: Brown: Sargassum Spp,80300904_3
MAECG,Macroalgae: Erect Coarse Branching: Green,80300905_1
MAECGCodspp,Macroalgae: Erect Coarse Branching: Green: Codium Spp,80300905_2
MAECGCauspp,Macroalgae: Erect Coarse Branching: Green: Caulerpa Spp,80300905_3
MAECR,Macroalgae: Erect Coarse Branching: Red,80300906_1
MAECRF,Macroalgae: Erect Coarse Branching: Red: Foliose,80300906_2
MAEF,Macroalgae: Erect Fine Branching,80300907_1
MAEFB,Macroalgae: Erect Fine Branching: Brown,80300908_1
MAEFBU,Macroalgae: Erect Fine Branching: Brown: Brown Understory Algae,80300908_2
MAEFG,Macroalgae: Erect Fine Branching: Green,80300909_1
MAEFGCauspp,Macroalgae: Erect Fine Branching: Green: Caulerpa Spp,80300909_2
MAEFR,Macroalgae: Erect Fine Branching: Red,80300910_1
MAEFRF,Macroalgae: Erect Fine Branching: Red: Foliose,80300910_2
MAA,Macroalgae: Articulated Calcareous,80300911_1
MAAG,Macroalgae: Articulated Calcareous: Green,80300912_1
MAAGAcg,Macroalgae: Articulated Calcareous: Green: Articulated Calcareous Green,80300912_2
MAAR,Macroalgae: Articulated Calcareous: Red,80300913_1
MAARAcr,Macroalgae: Articulated Calcareous: Red: Articulated Calcareous Red,80300913_2
MAG,Macroalgae: Globose / Saccate,80300914_1
MAGB,Macroalgae: Globose / Saccate: Brown,80300915_1
MAGG,Macroalgae: Globose / Saccate: Green,80300916_1
MAGGC,Macroalgae: Globose / Saccate: Green: Codium Spp,80300916_2
MAGR,Macroalgae: Globose / Saccate: Red,80300917_1
MALA,Macroalgae: Laminate,80300918_1
MALAB,Macroalgae: Laminate: Brown,80300919_1
MALAG,Macroalgae: Laminate: Green,80300920_1
MALAR,Macroalgae: Laminate: Red,80300921_1
MALARSon/Peyspp,Macroalgae: Laminate: Red: Sonderopelta Spp. And Peyssionnelia Spp.,80300921_2
MAS,Macroalgae: Sheet-Like / Membraneous,80300922_1
MASB,Macroalgae: Sheet-Like / Membraneous: Brown,80300923_1
MASG,Macroalgae: Sheet-Like / Membraneous: Green,80300924_1
MASR,Macroalgae: Sheet-Like / Membraneous: Red,80300925_1
MASRF,Macroalgae: Sheet-Like / Membraneous: Red: Foliose,80300925_2
MAEN,Macroalgae: Encrusting,80300926_1
MAENB,Macroalgae: Encrusting: Brown,80300927_1
MAENG,Macroalgae: Encrusting: Green,80300928_1
MAENGCodspp,Macroalgae: Encrusting: Green: Codium Spp,80300928_2
MAENR,Macroalgae: Encrusting: Red,80300929_1
MAF,Macroalgae: Filamentous / Filiform,80300930_1
MAFT,Macroalgae: Filamentous / Filiform: Turfing Algae,80300930_2
MAFB,Macroalgae: Filamentous / Filiform: Brown,80300931_1
MAFG,Macroalgae: Filamentous / Filiform: Green,80300932_1
MAFR,Macroalgae: Filamentous / Filiform: Red,80300933_1
MAFRDR,Macroalgae: Filamentous / Filiform: Red: Dark Red,80300933_2
MAENRC,Macroalgae: Encrusting: Red: Calcareous,80300934_1
MEANRNC,Macroalgae: Encrusting: Red: Non-Calcareous,80300935_1
W,Worms,80600901_1
J,Jellies,80600903_1
BI,Bioturbation,81000000_1
BID,Bioturbation: Dwelling Traces,81001000_1
BIDE,Bioturbation: Dwelling Traces: Elongate Depression,81001001_1
BIDL,Bioturbation: Dwelling Traces: Large Mound,81001002_1
BIDSM,Bioturbation: Dwelling Traces: Small Mound,81001003_1
BIDB,Bioturbation: Dwelling Traces: Burrow Cluster,81001004_1
BIDO,Bioturbation: Dwelling Traces: Oblique Burrow,81001005_1
BIDSB,Bioturbation: Dwelling Traces: Single Burrow,81001006_1
BIDP,Bioturbation: Dwelling Traces: Paired Burrow,81001007_1
BIDV,Bioturbation: Dwelling Traces: Vertical Burrow,81001008_1
BIDT,Bioturbation: Dwelling Traces: Trapdoor Burrow,81001009_1
BIDR,Bioturbation: Dwelling Traces: Rounded Crater Ring,81001010_1
BIDSC,Bioturbation: Dwelling Traces: Spiked Crater Ring,81001011_1
BIDC,Bioturbation: Dwelling Traces: Crater Cone,81001012_1
BIDF,Bioturbation: Dwelling Traces: Fractured Mound,81001013_1
BIDSP,Bioturbation: Dwelling Traces: Spotted Mound,81001014_1
BIW,Bioturbation: Waste Casts,81002000_1
BIWCO,Bioturbation: Waste Casts: Coiled Casts,81002001_1
BIWW,Bioturbation: Waste Casts: Wavy Casts,81002002_1
BIWR,Bioturbation: Waste Casts: Round Casts,81002003_1
BIWM,Bioturbation: Waste Casts: Mounded Casts,81002004_1
BIWCU,Bioturbation: Waste Casts: Curly Casts,81002005_1
BIWN,Bioturbation: Waste Casts: Nest Casts,81002006_1
BIWSP,Bioturbation: Waste Casts: Spirals,81002007_1
BIWSW,Bioturbation: Waste Casts: Switchbacks,81002008_1
BIR,Bioturbation: Resting Traces,81003000_1
BIRU,Bioturbation: Resting Traces: Urchin Trace,81003001_1
BIRS,Bioturbation: Resting Traces: Star Impression,81003002_1
BIRL,Bioturbation: Resting Traces: Large Depression,81003003_1
BIF,Bioturbation: Feeding Traces,81004000_1
BIFL,Bioturbation: Feeding Traces: Large Rosette,81004001_1
BIFS,Bioturbation: Feeding Traces: Small Rosette,81004002_1
BIFPE,Bioturbation: Feeding Traces: Petal Rosette,81004003_1
BIFR,Bioturbation: Feeding Traces: Rayed Mound,81004004_1
BIFPI,Bioturbation: Feeding Traces: Pincushion Rosette,81004005_1
BIC,Bioturbation: Crawling Traces,81005000_1
BICTN,Bioturbation: Crawling Traces: Thin Trail,81005001_1
BICTK,Bioturbation: Crawling Traces: Thick Trail,81005002_1
BICCT,Bioturbation: Crawling Traces: Complex Trail,81005003_1
BICM,Bioturbation: Crawling Traces: Mounded Trail,81005004_1
BICP,Bioturbation: Crawling Traces: Perforated Trail,81005005_1
BICCR,Bioturbation: Crawling Traces: Crater Row,81005006_1
BICD,Bioturbation: Crawling Traces: Disturbed Trace,81005007_1
BIO,Bioturbation: Organism Tests,81006000_1
BIOL,Bioturbation: Organism Tests: Lumpy Xenophyophore,81006001_1
BIOG,Bioturbation: Organism Tests: Globule Xenophyophore,81006002_1
BIU,Bioturbation: Unknown Origin,81007000_1
BIUO,Bioturbation: Unknown Origin: Ovoid Pinnate,81007001_1
BIUR,Bioturbation: Unknown Origin: Round Pinnate,81007002_1
BIUME,Bioturbation: Unknown Origin: Mesh,81007003_1
BIUS,Bioturbation: Unknown Origin: Spider,81007004_1
BIUMA,Bioturbation: Unknown Origin: Matchstick,81007005_1
BIUF,Bioturbation: Unknown Origin: Fern,81007006_1
BIUP,Bioturbation: Unknown Origin: Pogostick,81007007_1
P,Physical,82000000_1
S,Substrate,82001000_1
SC,Substrate: Consolidated (Hard),82001001_1
SCR,Substrate: Consolidated (Hard): Rock,82001002_1
SCB,Substrate: Consolidated (Hard): Boulders,82001003_1
SCC,Substrate: Consolidated (Hard): Cobbles,82001004_1
SU,Substrate: Unconsolidated (Soft),82001005_1
SUP,Substrate: Unconsolidated (Soft): Pebble / Gravel,82001006_1
SUPB,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic,82001007_1
SUPBC,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic: Coquina / Shellhash,82001008_1
SUPBRub,Substrate: Unconsolidated (Soft): Pebble / Gravel: Biologenic: Coral Rubble,82001009_1
