"Matched_image_name","Lat","Long","Date"
"L1120_NPZT2_12_24_55_0106",33.54187,115.3890817,"20200519"
"L1120_NPZT2_12_24_55_0107",33.54189333,115.3890467,"20200519"
"L1120_NPZT2_12_24_55_0108",33.54192333,115.3890083,"20200519"
"L1120_NPZT2_12_24_55_0109",33.541945,115.3889717,"20200519"
"L1120_NPZT2_12_24_55_0110",33.54197167,115.3889367,"20200519"
"L1120_NPZT2_12_24_55_0111",33.542005,115.3889033,"20200519"
"L1120_NPZT2_12_24_55_0112",33.54203333,115.3888617,"20200519"
"L1120_NPZT2_12_24_55_0113",33.54206333,115.3888283,"20200519"
"L1120_NPZT2_12_24_55_0114",33.54209167,115.3887917,"20200519"
"L1120_NPZT2_12_24_55_0115",33.54211833,115.3887567,"20200519"
"L1120_NPZT2_12_24_55_0116",33.54214667,115.3887283,"20200519"
"L1120_NPZT2_12_24_55_0117",33.54217167,115.3886833,"20200519"
"L1120_NPZT2_12_24_55_0118",33.54220667,115.3886567,"20200519"
"L1120_NPZT2_12_24_55_0119",33.54224167,115.3886417,"20200519"
"L1120_NPZT2_12_24_55_0120",33.542275,115.3886267,"20200519"
"L1120_NPZT2_12_24_55_0121",33.54231167,115.38863,"20200519"
"L1120_NPZT2_12_24_55_0122",33.54235167,115.38863,"20200519"
"L1120_NPZT2_12_24_55_0123",33.54239167,115.3886267,"20200519"
"L1120_NPZT2_12_24_55_0124",33.54243,115.3886267,"20200519"
"L1120_NPZT2_12_24_55_0125",33.54247,115.3886083,"20200519"
"L1120_NPZT2_12_24_55_0126",33.54250667,115.3885833,"20200519"
"L1120_NPZT2_12_24_55_0127",33.54254167,115.38856,"20200519"
"L1120_NPZT2_12_24_55_0128",33.54256667,115.3885217,"20200519"
"L1120_NPZT2_12_24_55_0129",33.54258667,115.3884783,"20200519"
"L1120_NPZT2_12_24_55_0130",33.54261,115.3884367,"20200519"
"L1120_NPZT2_12_24_55_0131",33.54263167,115.3883883,"20200519"
"L1120_NPZT2_12_24_55_0132",33.54265667,115.3883533,"20200519"
"L1120_NPZT2_12_24_55_0133",33.542675,115.3883217,"20200519"
"L1120_NPZT2_12_24_55_0134",33.54270333,115.3882883,"20200519"
"L1120_NPZT2_12_24_55_0135",33.54273667,115.3882567,"20200519"
"L1120_NPZT2_12_24_55_0136",33.542765,115.3882267,"20200519"
"L1120_NPZT2_12_24_55_0137",33.542795,115.3882033,"20200519"
"L1120_NPZT2_12_24_55_0138",33.54283,115.3881817,"20200519"
"L1120_NPZT2_12_24_55_0139",33.54287,115.3881667,"20200519"
"L1120_NPZT2_12_24_55_0140",33.54291,115.3881533,"20200519"
"L1120_NPZT2_12_24_55_0141",33.54294167,115.3881283,"20200519"
"L1120_NPZT2_12_24_55_0142",33.542975,115.3881083,"20200519"
"L1120_NPZT2_12_24_55_0143",33.54301333,115.3880883,"20200519"
"L1120_NPZT2_12_24_55_0144",33.54304667,115.3880683,"20200519"
"L1120_NPZT2_12_24_55_0145",33.54307333,115.3880367,"20200519"
"L1120_NPZT3_redo_13_50_09_0088",33.54802667,115.379205,"20200519"
"L1120_NPZT3_redo_13_50_09_0089",33.54804333,115.379145,"20200519"
"L1120_NPZT3_redo_13_50_09_0090",33.548045,115.37909,"20200519"
"L1120_NPZT3_redo_13_50_09_0091",33.54805167,115.379045,"20200519"
"L1120_NPZT3_redo_13_50_09_0092",33.54805,115.379,"20200519"
"L1120_NPZT3_redo_13_50_09_0093",33.54803667,115.3789667,"20200519"
"L1120_NPZT3_redo_13_50_09_0094",33.54803167,115.3789333,"20200519"
"L1120_NPZT3_redo_13_50_09_0095",33.54802,115.3789,"20200519"
"L1120_NPZT3_redo_13_50_09_0096",33.54801833,115.3788767,"20200519"
"L1120_NPZT3_redo_13_50_09_0097",33.54801333,115.3788483,"20200519"
"L1120_NPZT3_redo_13_50_09_0098",33.54800667,115.3788183,"20200519"
"L1120_NPZT3_redo_13_50_09_0099",33.54801,115.3787983,"20200519"
"L1120_NPZT3_redo_13_50_09_0100",33.54800833,115.378765,"20200519"
"L1120_NPZT3_redo_13_50_09_0101",33.54801,115.3787333,"20200519"
"L1120_NPZT3_redo_13_50_09_0102",33.54801833,115.3786967,"20200519"
"L1120_NPZT3_redo_13_50_09_0103",33.54802,115.37867,"20200519"
"L1120_NPZT3_redo_13_50_09_0104",33.54802833,115.3786333,"20200519"
"L1120_NPZT3_redo_13_50_09_0105",33.54803667,115.3786033,"20200519"
"L1120_NPZT3_redo_13_50_09_0106",33.548035,115.3785633,"20200519"
"L1120_NPZT3_redo_13_50_09_0107",33.54804667,115.37851,"20200519"
"L1120_NPZT3_redo_13_50_09_0108",33.54804833,115.37846,"20200519"
"L1120_NPZT3_redo_13_50_09_0109",33.54805667,115.3784217,"20200519"
"L1120_NPZT3_redo_13_50_09_0110",33.54806333,115.3783733,"20200519"
"L1120_NPZT3_redo_13_50_09_0111",33.54807167,115.3783267,"20200519"
"L1120_NPZT3_redo_13_50_09_0112",33.54808,115.37828,"20200519"
