campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032521_165_FC16.png,-33.3508931,115.1120817,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032521_665_FC16.png,-33.3508958,115.1120811,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032522_165_FC16.png,-33.3508987,115.1120803,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032522_665_FC16.png,-33.3509015,115.1120794,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032523_165_FC16.png,-33.3509045,115.1120781,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032523_665_FC16.png,-33.3509075,115.1120768,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032524_165_FC16.png,-33.3509107,115.1120749,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032524_665_FC16.png,-33.3509142,115.1120727,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032525_164_FC16.png,-33.3509177,115.1120702,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032525_665_FC16.png,-33.3509214,115.1120674,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032526_165_FC16.png,-33.3509254,115.1120641,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032526_665_FC16.png,-33.3509293,115.1120607,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032527_165_FC16.png,-33.3509334,115.1120572,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032527_665_FC16.png,-33.3509375,115.1120534,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032528_165_FC16.png,-33.3509417,115.1120495,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032528_665_FC16.png,-33.3509458,115.1120456,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032529_165_FC16.png,-33.35095,115.1120414,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032529_665_FC16.png,-33.3509539,115.1120375,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032530_165_FC16.png,-33.3509578,115.1120335,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032530_665_FC16.png,-33.3509614,115.1120298,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032531_165_FC16.png,-33.3509652,115.1120262,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032531_665_FC16.png,-33.3509687,115.1120229,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032532_164_FC16.png,-33.350972,115.1120201,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032532_664_FC16.png,-33.3509754,115.1120177,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032533_164_FC16.png,-33.3509787,115.1120158,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032533_664_FC16.png,-33.3509817,115.1120146,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032534_164_FC16.png,-33.3509847,115.1120135,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032534_664_FC16.png,-33.3509876,115.1120128,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032535_164_FC16.png,-33.3509905,115.1120122,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032535_664_FC16.png,-33.3509934,115.1120118,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032536_164_FC16.png,-33.3509964,115.1120113,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032536_664_FC16.png,-33.3509994,115.1120109,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032537_164_FC16.png,-33.3510025,115.1120103,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032537_665_FC16.png,-33.3510057,115.1120095,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032538_165_FC16.png,-33.351009,115.1120084,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032538_665_FC16.png,-33.3510125,115.1120069,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032539_165_FC16.png,-33.3510162,115.1120051,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032539_665_FC16.png,-33.35102,115.112003,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032540_165_FC16.png,-33.3510239,115.1120005,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032540_665_FC16.png,-33.3510279,115.1119977,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032541_165_FC16.png,-33.3510319,115.1119942,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032541_665_FC16.png,-33.351036,115.1119908,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032542_165_FC16.png,-33.3510398,115.1119873,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032542_665_FC16.png,-33.3510436,115.1119836,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032543_165_FC16.png,-33.3510475,115.1119796,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032543_665_FC16.png,-33.3510512,115.1119757,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032544_165_FC16.png,-33.3510547,115.1119718,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032544_665_FC16.png,-33.3510581,115.1119681,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032545_165_FC16.png,-33.3510615,115.1119643,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032545_665_FC16.png,-33.3510651,115.1119609,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032546_165_FC16.png,-33.3510684,115.1119577,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032546_665_FC16.png,-33.3510716,115.1119548,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032547_165_FC16.png,-33.3510748,115.1119521,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032547_665_FC16.png,-33.3510779,115.1119497,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032548_165_FC16.png,-33.3510812,115.1119475,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032548_665_FC16.png,-33.3510845,115.1119455,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032549_165_FC16.png,-33.351088,115.1119438,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032549_665_FC16.png,-33.3510913,115.1119422,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032550_165_FC16.png,-33.3510949,115.1119409,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032550_665_FC16.png,-33.3510983,115.1119397,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032551_165_FC16.png,-33.3511017,115.1119385,,1388,1038
,,,,,,,
AUV2015,r20150529_031600_wa-gb-auv-14c,PR_20150529_032551_665_FC16.png,-33.3511051,115.1119375,,1388,1038
,,,,,,,
