campaign_name,dataset_name,image_name,latitude,longitude,image_url,image_width,image_height
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083339_673_FC16.png,-33.4108908,115.1752721,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083340_173_FC16.png,-33.4108867,115.1752772,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083340_673_FC16.png,-33.4108825,115.1752821,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083341_173_FC16.png,-33.4108784,115.1752866,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083341_673_FC16.png,-33.4108741,115.1752912,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083342_174_FC16.png,-33.41087,115.1752958,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083342_674_FC16.png,-33.4108664,115.1753011,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083343_174_FC16.png,-33.4108624,115.1753056,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083343_674_FC16.png,-33.4108584,115.1753095,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083344_173_FC16.png,-33.4108545,115.1753135,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083344_673_FC16.png,-33.4108505,115.1753168,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083345_173_FC16.png,-33.4108466,115.1753199,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083345_674_FC16.png,-33.4108426,115.1753228,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083346_174_FC16.png,-33.4108386,115.1753254,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083346_674_FC16.png,-33.4108346,115.1753277,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083347_174_FC16.png,-33.4108309,115.1753298,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083347_674_FC16.png,-33.4108268,115.1753319,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083348_174_FC16.png,-33.4108229,115.1753338,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083348_674_FC16.png,-33.4108186,115.1753357,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083349_174_FC16.png,-33.4108145,115.1753373,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083349_675_FC16.png,-33.4108102,115.1753395,,1388,1038
,,,,,,,
AUV2015,r20150528_082632_wa-gb-auv-13b,PR_20150528_083350_175_FC16.png,-33.4108063,115.1753414,,1388,1038
,,,,,,,
