"siteID","lon_WGS84","lat_WGS84","ip"
"GB-BV-01",115.374382947509,-33.5752190886918,"2.09031644273449e-07"
"GB-BV-02",115.352288263891,-33.5612191440341,"2.09031644273449e-07"
"GB-BV-03",115.364722686825,-33.5803205487166,"1.54102222021738e-05"
"GB-BV-04",115.3545928604,-33.5636405523042,"1.54102222021738e-05"
"GB-BV-05",115.395086147761,-33.5199239069032,"1.54102222021738e-05"
"GB-BV-06",115.406087020561,-33.5400809181559,"1.54102222021738e-05"
"GB-BV-07",115.403865071308,-33.5290163647923,"9.73803831413157e-05"
"GB-BV-08",115.3972456977,-33.5221029467447,"9.73803831413157e-05"
"GB-BV-09",115.366298667625,-33.5726531615125,"9.73803831413157e-05"
"GB-BV-10",115.345813105313,-33.5618093259276,"9.73803831413157e-05"
"GB-BV-11",115.405225728931,-33.527546537736,"9.73803831413157e-05"
"GB-BV-12",115.355152691427,-33.5539279388762,"9.73803831413157e-05"
"GB-BV-13",115.406680918346,-33.5290511497194,"9.73803831413157e-05"
"GB-BV-14",115.39365197245,-33.5281818425719,"9.73803831413157e-05"
"GB-BV-15",115.370881808556,-33.5734188357103,"9.73803831413157e-05"
"GB-BV-16",115.357742246268,-33.5542085281333,"9.73803831413157e-05"
"GB-BV-17",115.397231897947,-33.5269520304522,"9.73803831413157e-05"
"GB-BV-18",115.385396619353,-33.5256720758235,"9.73803831413157e-05"
"GB-BV-19",115.371745409657,-33.5667746441502,"9.73803831413157e-05"
"GB-BV-20",115.350470580848,-33.5585411005086,"9.73803831413157e-05"
"GB-BV-21",115.390794995492,-33.551350760911,"7.97025653392771e-08"
"GB-BV-22",115.367420318704,-33.5445306907621,"4.77674967063368e-06"
"GB-BV-23",115.388869056879,-33.5432008822157,"4.77674967063368e-06"
"GB-BV-24",115.359424355117,-33.5533944032252,"2.18994062948339e-05"
"GB-BV-25",115.364635923959,-33.5505489911091,"2.18994062948339e-05"
"GB-BV-26",115.383367812484,-33.5349592563591,"2.18994062948339e-05"
"GB-BV-27",115.380466848348,-33.5482845368521,"2.18994062948339e-05"
"GB-BV-28",115.376940888424,-33.553017778446,"2.18994062948339e-05"
"GB-BV-29",115.386664508514,-33.5341793223679,"2.18994062948339e-05"
"GB-BV-30",115.365769883247,-33.5483985340562,"2.18994062948339e-05"
