unique(fished.species$scientific),Notes
Platycephalidae Platycephalus speculator,Change to Platycephalus spp 
Sparidae Chrysophrys auratus,
Carangidae Pseudocaranx spp,
Labridae Bodianus frenchii,
Carangidae Seriola hippos,
Labridae Choerodon rubescens,
Platycephalidae Platycephalus spp,
Sillaginidae Sillago spp,Check any Sillaginidae Sillaginodes spp and change to Sillago spp/Sillaginodes punctatus
Paralichthyidae Pseudorhombus spp,
Sillaginidae Sillaginodes punctatus,
Glaucosomatidae Glaucosoma hebraicum,
Triakidae Galeorhinus galeus,
Serranidae Epinephelides armatus,
Plotosidae Cnidoglanis macrocephalus,
Labridae Achoerodus gouldii,
Cheilodactylidae Nemadactylus valenciennesi,
Triakidae Furgaleus macki,
Serranidae Othos dentex,
Carangidae Seriola lalandi,
Scombridae  ,
Sparidae Rhabdosargus sarba,
Zeidae Zeus faber,
Berycidae Centroberyx lineatus,
