System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,GB-BV-001,34.9,,3,71b937bf-ea90-4603-8954-9b3253a2efdf,3/25/2024 11:52:39 PM,Claude.Spencer_UWA,3/25/2024 11:52:39 PM,Claude.Spencer_UWA,115.220028333754,-33.4816716669202
2,GB-BV-068,35.9,Backwards cam off,4,db07f163-d8c9-44da-b2e3-a8f717e92898,3/25/2024 11:59:09 PM,Claude.Spencer_UWA,3/26/2024 7:06:01 AM,Claude.Spencer_UWA,115.210983333702,-33.4694300001844
3,GB-BV-032,36.3,LED OFF on retrieval ,5,b3cb6499-0ff6-4234-acb9-eec37f6dee7d,3/26/2024 12:07:29 AM,Claude.Spencer_UWA,3/26/2024 7:06:21 AM,Claude.Spencer_UWA,115.209391666342,-33.460141666952
4,GB-BV-052,36.1,,6,d2c6b6e7-c920-44fb-b735-ef99ee79062e,3/26/2024 12:17:33 AM,Claude.Spencer_UWA,3/26/2024 7:06:49 AM,Claude.Spencer_UWA,115.236074999861,-33.4526099997021
5,GB-BV-080,33.5,,7,6bb2cd73-faeb-4978-844a-c92f13495c77,3/26/2024 12:30:13 AM,Claude.Spencer_UWA,3/26/2024 12:30:13 AM,Claude.Spencer_UWA,115.271128333039,-33.4565566663893
6,GB-BV-162,35.1,,8,f8a4c387-caee-4ccb-9e33-2b45cbd206da,3/26/2024 12:37:20 AM,Claude.Spencer_UWA,3/26/2024 12:37:20 AM,Claude.Spencer_UWA,115.274399999999,-33.4432316669826
7,GB-BV-084,35.1,Left cam off on retrieval. Might be loose right angle cord,9,b18d77b7-4835-4109-a13a-b405d104ca47,3/26/2024 12:42:41 AM,Claude.Spencer_UWA,3/26/2024 2:24:07 AM,Claude.Spencer_UWA,115.264546667108,-33.4430683333859
8,GB-BV-174,36.8,,10,5a4808d2-789c-4b2f-8201-d02c7ddc5a6b,3/26/2024 12:50:55 AM,Claude.Spencer_UWA,3/26/2024 12:50:55 AM,Claude.Spencer_UWA,115.248115000138,-33.4401916668137
9,GB-BV-134,37.4,,11,e86a997a-2568-4747-9f4c-c6607bb11ef8,3/26/2024 1:02:41 AM,Claude.Spencer_UWA,3/26/2024 1:02:41 AM,Claude.Spencer_UWA,115.249500000185,-33.4309249997852
10,GB-BV-150,37.2,,12,0f181b49-b959-4645-b290-759f76b4d1e8,3/26/2024 1:08:53 AM,Claude.Spencer_UWA,3/26/2024 7:07:52 AM,Claude.Spencer_UWA,115.264253333032,-33.4228400000619
