System #,Sample,Depth (m),Notes,ObjectId,GlobalID,CreationDate,Creator,EditDate,Editor,x,y
,GB-DC-065,15.7,,1,63b1f2af-3799-4388-a01c-1bf4f8a38055,4/11/2024 5:48:35 AM,Claude.Spencer_UWA,4/11/2024 5:49:01 AM,Claude.Spencer_UWA,115.448334999719,-33.4917116665584
,GB-DC-049,14.8,,2,55c627fd-3ffc-4ec2-849b-aa9335a971b4,4/11/2024 6:02:12 AM,Claude.Spencer_UWA,4/11/2024 6:02:12 AM,Claude.Spencer_UWA,115.447403333582,-33.5001100000579
,GB-DC-069,14.6,,3,1aa176d8-b6bb-495e-9edc-3a1cebf5ba85,4/11/2024 6:10:58 AM,Claude.Spencer_UWA,4/11/2024 6:10:58 AM,Claude.Spencer_UWA,115.443876666354,-33.503891666567
,GB-DC-46,16.8,,4,756b9f80-7559-4151-ad32-31092cf81fd4,4/11/2024 6:27:09 AM,Claude.Spencer_UWA,4/11/2024 6:27:09 AM,Claude.Spencer_UWA,115.414764999772,-33.508683333587
,GB-DC-053,15.0,,5,8a2162d4-2547-4405-bf5e-7877778d76aa,4/11/2024 6:37:53 AM,Claude.Spencer_UWA,4/11/2024 6:37:53 AM,Claude.Spencer_UWA,115.425266666567,-33.510221666478
,GB-DC-030,14.6,,6,a78fd58b-d621-4a80-bb5b-661060647910,4/11/2024 6:46:08 AM,Claude.Spencer_UWA,4/11/2024 6:46:08 AM,Claude.Spencer_UWA,115.428201476973,-33.5142639678945
,GB-DC-020,14.9,,7,fa882b9b-4255-4c92-aab0-5ddc033a2596,4/11/2024 6:59:29 AM,Claude.Spencer_UWA,4/11/2024 6:59:29 AM,Claude.Spencer_UWA,115.414258333783,-33.5292566668322
,GB-DC-047,14.6,,8,307d1a55-a01f-442b-855f-a291f5c5b44b,4/11/2024 7:07:11 AM,Claude.Spencer_UWA,4/11/2024 7:07:11 AM,Claude.Spencer_UWA,115.410786666806,-33.5330316665748
,GB-DC-108,15.1,,9,6c7a743c-e3ad-4d58-b60d-228f54122b0d,4/11/2024 7:17:55 AM,Claude.Spencer_UWA,4/11/2024 7:17:55 AM,Claude.Spencer_UWA,115.399209999586,-33.5371150002075
,GB-DC-112,14.7,"22 and 23 off after last drop, synced with lights before drop",10,98c9dd0c-43fa-444a-a961-2696c09e0e3f,4/11/2024 7:29:10 AM,Claude.Spencer_UWA,4/11/2024 7:29:10 AM,Claude.Spencer_UWA,115.39637000007,-33.5454666667286
,GB-DC-104,15.1,,11,f08c5b9d-5b57-42fa-a31e-202f61d1384f,4/11/2024 7:37:37 AM,Claude.Spencer_UWA,4/11/2024 7:37:37 AM,Claude.Spencer_UWA,115.405221666503,-33.5460516664626
,GB-DC-118,14.6,,12,62a07bb3-1ae9-45d3-a3ba-4d4c9b2bfabd,4/11/2024 7:47:55 AM,Claude.Spencer_UWA,4/11/2024 7:47:55 AM,Claude.Spencer_UWA,115.391070000081,-33.5490200000281
,GB-DC-109,14.1,,13,3c945e57-efc9-4b0f-912b-ab089a63ac9d,4/11/2024 7:55:49 AM,Claude.Spencer_UWA,4/11/2024 7:55:49 AM,Claude.Spencer_UWA,115.392948333323,-33.5522033334735
,GB-DC-099,30.3,,14,40aefa8b-04d3-4919-a21c-b880569d7f1e,4/13/2024 7:07:24 AM,Claude.Spencer_UWA,4/13/2024 7:07:24 AM,Claude.Spencer_UWA,115.216591666937,-33.5397050001329
,GB-DC-090,31.5,,15,767eef66-15ce-46c0-8bb8-4a85bae5b7b9,4/13/2024 7:18:26 AM,Claude.Spencer_UWA,4/13/2024 7:18:26 AM,Claude.Spencer_UWA,115.204451667101,-33.544299999862
