"siteID","lon_WGS84","lat_WGS84","ip"
"GB-BV-001",115.220141807619,-33.4814892554725,"6.97744346233197e-08"
"GB-BV-002",115.429087213241,-33.4035387392444,"6.97744346233197e-08"
"GB-BV-003",115.287961409571,-33.4083605498981,"6.97744346233197e-08"
"GB-BV-004",115.2862941487,-33.6397267859441,"6.97744346233197e-08"
"GB-BV-005",115.178721500571,-33.476955787692,"6.97744346233197e-08"
"GB-BV-006",115.443775150314,-33.3548094440377,"6.97744346233197e-08"
"GB-BV-007",115.378678870192,-33.5893357812824,"6.97744346233197e-08"
"GB-BV-008",115.255040904922,-33.3947057555176,"6.97744346233197e-08"
"GB-BV-009",115.14905355335,-33.5743887949794,"6.97744346233197e-08"
"GB-BV-010",115.477201108062,-33.4993033281828,"6.97744346233197e-08"
"GB-BV-011",115.282888040878,-33.5286031501159,"6.97744346233197e-08"
"GB-BV-012",115.165935707964,-33.425218277839,"6.97744346233197e-08"
"GB-BV-013",115.05871781804,-33.5241712078937,"6.97744346233197e-08"
"GB-BV-014",115.291105218611,-33.3885731749832,"6.97744346233197e-08"
"GB-BV-015",115.360440564792,-33.526958737974,"6.97744346233197e-08"
"GB-BV-016",115.12027018074,-33.3598019893609,"6.97744346233197e-08"
"GB-BV-017",115.18201635556,-33.5880707963573,"6.97744346233197e-08"
"GB-BV-018",115.439771660074,-33.4248195846341,"6.97744346233197e-08"
"GB-BV-019",115.341286995021,-33.5148155777564,"6.97744346233197e-08"
"GB-BV-020",115.188216826498,-33.4175948104804,"6.97744346233197e-08"
"GB-BV-021",115.059788927296,-33.4739434657018,"6.97744346233197e-08"
"GB-BV-022",115.335630741548,-33.3732880314737,"6.97744346233197e-08"
"GB-BV-023",115.329670727221,-33.5437557114386,"6.97744346233197e-08"
"GB-BV-024",115.07677912283,-33.4556810413105,"6.97744346233197e-08"
"GB-BV-025",115.252105403785,-33.5453847215415,"6.97744346233197e-08"
"GB-BV-026",115.482052257001,-33.3790610343119,"6.97744346233197e-08"
"GB-BV-027",115.407233630483,-33.5420877581488,"6.97744346233197e-08"
"GB-BV-028",115.301080826687,-33.5909895356763,"6.97744346233197e-08"
"GB-BV-029",115.159698821259,-33.595695806871,"6.97744346233197e-08"
"GB-BV-030",115.411263111583,-33.4720632169622,"6.97744346233197e-08"
"GB-BV-031",115.403198804822,-33.6121214678886,"6.97744346233197e-08"
"GB-BV-032",115.209495859945,-33.4601909977435,"6.97744346233197e-08"
"GB-BV-033",115.0789027142,-33.4861205769972,"6.97744346233197e-08"
"GB-BV-034",115.346293330221,-33.394574158492,"6.97744346233197e-08"
"GB-BV-035",115.275618903349,-33.6184267094878,"6.97744346233197e-08"
"GB-BV-036",115.136198610764,-33.3917527118197,"6.97744346233197e-08"
"GB-BV-037",115.262651907511,-33.5392182065992,"1.70653999231608e-07"
"GB-BV-038",115.316270364981,-33.5128637146076,"1.70653999231608e-07"
"GB-BV-039",115.414331425792,-33.3754561739593,"1.70653999231608e-07"
"GB-BV-040",115.188400294618,-33.3572944262182,"1.70653999231608e-07"
"GB-BV-041",115.153244831473,-33.5208158874214,"1.70653999231608e-07"
"GB-BV-042",115.315851564392,-33.6287059046001,"1.70653999231608e-07"
"GB-BV-043",115.341962084923,-33.4641565909029,"1.70653999231608e-07"
"GB-BV-044",115.185001930847,-33.3504853713817,"1.70653999231608e-07"
"GB-BV-045",115.194095338698,-33.6025595952656,"1.70653999231608e-07"
"GB-BV-046",115.420585154666,-33.4211802846007,"1.70653999231608e-07"
"GB-BV-047",115.379868386619,-33.4232116357256,"1.70653999231608e-07"
"GB-BV-048",115.149786744755,-33.4303022937463,"1.70653999231608e-07"
"GB-BV-049",115.448216853596,-33.5593269275712,"1.70653999231608e-07"
"GB-BV-050",115.431976628423,-33.3773629278896,"1.70653999231608e-07"
"GB-BV-051",115.430261973431,-33.4737131784769,"1.70653999231608e-07"
"GB-BV-052",115.236023349902,-33.4526222561143,"1.70653999231608e-07"
"GB-BV-053",115.160048860558,-33.5344397093912,"1.70653999231608e-07"
"GB-BV-054",115.288374737366,-33.4905175979718,"1.70653999231608e-07"
"GB-BV-055",115.320701543109,-33.3717393907357,"1.70653999231608e-07"
"GB-BV-056",115.130066714809,-33.3573250864703,"1.70653999231608e-07"
"GB-BV-057",115.088026230016,-33.5072068963595,"1.70653999231608e-07"
"GB-BV-058",115.36467177519,-33.5760531708544,"1.70653999231608e-07"
"GB-BV-059",115.29038678864,-33.4778619601822,"1.70653999231608e-07"
"GB-BV-060",115.119250983575,-33.4526975097091,"1.70653999231608e-07"
"GB-BV-061",115.186635735829,-33.6210621400623,"1.70653999231608e-07"
"GB-BV-062",115.440230937364,-33.4104304866975,"1.70653999231608e-07"
"GB-BV-063",115.308655895881,-33.4476647003213,"1.70653999231608e-07"
"GB-BV-064",115.061548717828,-33.4205861080027,"1.70653999231608e-07"
"GB-BV-065",115.498374960063,-33.5261027001414,"1.70653999231608e-07"
"GB-BV-066",115.394689506993,-33.3862019834877,"1.70653999231608e-07"
"GB-BV-067",115.246106498172,-33.3893546482074,"1.70653999231608e-07"
"GB-BV-068",115.210924502547,-33.4691912326932,"1.70653999231608e-07"
"GB-BV-069",115.174962536596,-33.4974435624182,"1.70653999231608e-07"
"GB-BV-070",115.333537312618,-33.630624831568,"1.70653999231608e-07"
"GB-BV-071",115.357989745541,-33.3629184520589,"1.70653999231608e-07"
"GB-BV-072",115.107005655571,-33.3612234148087,"1.70653999231608e-07"
"GB-BV-073",115.119950279194,-33.5042815463548,"1.70653999231608e-07"
"GB-BV-074",115.350410601258,-33.5809463235836,"1.70653999231608e-07"
"GB-BV-075",115.318885563727,-33.4680873665215,"1.70653999231608e-07"
"GB-BV-076",115.152529181982,-33.4692304076086,"1.70653999231608e-07"
"GB-BV-077",115.253190995229,-33.5703789090551,"1.70653999231608e-07"
"GB-BV-078",115.488334754389,-33.3898739526263,"1.70653999231608e-07"
"GB-BV-079",115.340555812975,-33.4446940761035,"1.70653999231608e-07"
"GB-BV-080",115.271333692542,-33.456475084914,"1.70653999231608e-07"
"GB-BV-081",115.416861982997,-33.5301964962433,"1.70653999231608e-07"
"GB-BV-082",115.376455580741,-33.4164059838406,"1.70653999231608e-07"
"GB-BV-083",115.256942801262,-33.377665067456,"1.70653999231608e-07"
"GB-BV-084",115.264520346659,-33.4428581575042,"1.70653999231608e-07"
"GB-BV-085",115.187196109285,-33.5052220415599,"1.70653999231608e-07"
"GB-BV-086",115.30560692411,-33.6082768375001,"1.70653999231608e-07"
"GB-BV-087",115.377280124429,-33.4679852660268,"1.70653999231608e-07"
"GB-BV-088",115.058841015094,-33.3816598885585,"1.70653999231608e-07"
"GB-BV-089",115.132843265787,-33.479944717555,"1.70653999231608e-07"
"GB-BV-090",115.311642166038,-33.5703016325222,"1.70653999231608e-07"
"GB-BV-091",115.395522708688,-33.4377782866277,"1.70653999231608e-07"
"GB-BV-092",115.050686429854,-33.4322628725781,"1.70653999231608e-07"
"GB-BV-093",115.260011106659,-33.5839996025023,"1.70653999231608e-07"
