"siteID","lon_WGS84","lat_WGS84","ip"
"GB-CP-001",115.23362348309,-33.6325226394267,"2.80017879310375e-08"
"GB-CP-002",115.189866702703,-33.6318897026833,"2.80017879310375e-08"
"GB-CP-003",115.387373373806,-33.6029143635607,"2.80017879310375e-08"
"GB-CP-004",115.411568385893,-33.4763877537754,"2.80017879310375e-08"
"GB-CP-005",115.277381613538,-33.633140103477,"2.80017879310375e-08"
"GB-CP-006",115.300505720287,-33.5700422639897,"2.80017879310375e-08"
"GB-CP-007",115.299261174606,-33.633443032748,"2.80017879310375e-08"
"GB-CP-008",115.43398019302,-33.4449625776668,"2.80017879310375e-08"
"GB-CP-009",115.431944156281,-33.4858627697197,"9.58940814838698e-07"
"GB-CP-010",115.292096324369,-33.5707346856609,"9.58940814838698e-07"
"GB-CP-011",115.347121295921,-33.6256823921385,"9.58940814838698e-07"
"GB-CP-012",115.193577487797,-33.6343741713524,"9.58940814838698e-07"
"GB-CP-013",115.414796533272,-33.5046152767137,"9.58940814838698e-07"
"GB-CP-014",115.378959387029,-33.6233938716675,"9.58940814838698e-07"
"GB-CP-015",115.318810965461,-33.6388506760049,"9.58940814838698e-07"
"GB-CP-016",115.21205218549,-33.6454824805465,"9.58940814838698e-07"
"GB-CP-017",115.450323525019,-33.5023547271456,"9.58940814838698e-07"
"GB-CP-018",115.311119008468,-33.6495857740016,"9.58940814838698e-07"
"GB-CP-019",115.070294582528,-33.5430855678511,"9.58940814838698e-07"
"GB-CP-020",115.168202480533,-33.5960619388949,"9.58940814838698e-07"
"GB-CP-021",115.430809967965,-33.4451965898172,"9.58940814838698e-07"
"GB-CP-022",115.284934954762,-33.6492252202588,"9.58940814838698e-07"
"GB-CP-023",115.057402198069,-33.5347542710714,"9.58940814838698e-07"
"GB-CP-024",115.114061357917,-33.5925383879511,"9.58940814838698e-07"
"GB-CP-025",115.34743168311,-33.6094264420114,"9.58940814838698e-07"
"GB-CP-026",115.236640153522,-33.6322859685445,"9.58940814838698e-07"
