"siteID","lon_WGS84","lat_WGS84","ip"
"GB-BV-001",115.304027906724,-33.5907199477697,"6.97744349016246e-08"
"GB-BV-002",115.129683802517,-33.5817425876751,"6.97744349016246e-08"
"GB-BV-003",115.381250046602,-33.4581621306285,"6.97744349016246e-08"
"GB-BV-004",115.285576496958,-33.3974460507904,"6.97744349016246e-08"
"GB-BV-005",115.250915470575,-33.6151461792878,"6.97744349016246e-08"
"GB-BV-006",115.16581924729,-33.5756371679864,"6.97744349016246e-08"
"GB-BV-007",115.469445105761,-33.477749444668,"6.97744349016246e-08"
"GB-BV-008",115.12748254814,-33.4204046104811,"6.97744349016246e-08"
"GB-BV-009",115.418650050869,-33.5326647012821,"6.97744349016246e-08"
"GB-BV-010",115.154148213421,-33.6045674135815,"6.97744349016246e-08"
"GB-BV-011",115.459629831854,-33.4062446302856,"6.97744349016246e-08"
"GB-BV-012",115.19115936175,-33.4173274615304,"6.97744349016246e-08"
"GB-BV-013",115.341094242114,-33.534338359191,"6.97744349016246e-08"
"GB-BV-014",115.223086040766,-33.481221266266,"6.97744349016246e-08"
"GB-BV-015",115.521038463999,-33.3726019641945,"6.97744349016246e-08"
"GB-BV-016",115.271779369513,-33.3959422119927,"6.97744349016246e-08"
"GB-BV-017",115.463217805265,-33.5173386448454,"6.97744349016246e-08"
"GB-BV-018",115.252875824143,-33.51467563797,"6.97744349016246e-08"
"GB-BV-019",115.462741466505,-33.386453852738,"6.97744349016246e-08"
"GB-BV-020",115.277104843603,-33.4065879116758,"6.97744349016246e-08"
"GB-BV-021",115.380331869487,-33.5083904600599,"6.97744349016246e-08"
"GB-BV-022",115.111593796207,-33.5193371746642,"6.97744349016246e-08"
"GB-BV-023",115.479647987978,-33.368150134105,"6.97744349016246e-08"
"GB-BV-024",115.278071125676,-33.3563696768895,"6.97744349016246e-08"
"GB-BV-025",115.297731915183,-33.6303109187105,"6.97744349016246e-08"
"GB-BV-026",115.225434687457,-33.642576355041,"6.97744349016246e-08"
"GB-BV-027",115.296231446125,-33.4187365813587,"6.97744349016246e-08"
"GB-BV-028",115.115818161099,-33.4493235169769,"6.97744349016246e-08"
"GB-BV-029",115.386971993167,-33.5997104725751,"6.97744349016246e-08"
"GB-BV-030",115.173296522554,-33.6167358449158,"6.97744349016246e-08"
"GB-BV-031",115.456517032572,-33.4260360664555,"6.97744349016246e-08"
"GB-BV-032",115.079722998208,-33.455415798805,"6.97744349016246e-08"
"GB-BV-033",115.310319180474,-33.5511317121194,"6.97744349016246e-08"
"GB-BV-034",115.05954426072,-33.4934643503172,"6.97744349016246e-08"
"GB-BV-035",115.349234824091,-33.3943038069094,"6.97744349016246e-08"
"GB-BV-036",115.092452535958,-33.3762804393894,"6.97744349016246e-08"
"GB-BV-037",115.258055932024,-33.3779343101832,"1.70653999913766e-07"
"GB-BV-038",115.197047574472,-33.4227581362689,"1.70653999913766e-07"
"GB-BV-039",115.223636672095,-33.5093559750559,"1.70653999913766e-07"
"GB-BV-040",115.480067842746,-33.421307394601,"1.70653999913766e-07"
"GB-BV-041",115.222772283769,-33.3740790058538,"1.70653999913766e-07"
"GB-BV-042",115.51031256786,-33.5146599392959,"1.70653999913766e-07"
"GB-BV-043",115.166593998069,-33.5288664082439,"1.70653999913766e-07"
"GB-BV-044",115.391223604609,-33.4438969671877,"1.70653999913766e-07"
"GB-BV-045",115.075557797004,-33.3965285094585,"1.70653999913766e-07"
"GB-BV-046",115.329830277951,-33.6046158443531,"1.70653999913766e-07"
"GB-BV-047",115.074875651567,-33.5123445011977,"1.70653999913766e-07"
"GB-BV-048",115.328829226357,-33.4693153950945,"1.70653999913766e-07"
"GB-BV-049",115.074201427363,-33.3770660411939,"1.70653999913766e-07"
"GB-BV-050",115.351309633241,-33.4975029075263,"1.70653999913766e-07"
"GB-BV-051",115.489448602191,-33.3901415313898,"1.70653999913766e-07"
"GB-BV-052",115.387564521394,-33.3534017553487,"1.70653999913766e-07"
"GB-BV-053",115.250623350249,-33.3964321457455,"1.70653999913766e-07"
"GB-BV-054",115.209274132125,-33.4305337841397,"1.70653999913766e-07"
"GB-BV-055",115.183529467261,-33.4792157440793,"1.70653999913766e-07"
"GB-BV-056",115.362738038935,-33.4536844733613,"1.70653999913766e-07"
"GB-BV-057",115.115602868416,-33.4266921476534,"1.70653999913766e-07"
"GB-BV-058",115.412560354615,-33.5363168298874,"1.70653999913766e-07"
"GB-BV-059",115.129231294058,-33.5376437682006,"1.70653999913766e-07"
"GB-BV-060",115.294125886125,-33.4333579857206,"1.70653999913766e-07"
"GB-BV-061",115.093200349258,-33.3984740806418,"1.70653999913766e-07"
"GB-BV-062",115.321595366382,-33.5715303644558,"1.70653999913766e-07"
"GB-BV-063",115.259733444144,-33.5648012830501,"1.70653999913766e-07"
"GB-BV-064",115.369334214426,-33.3836030971388,"1.70653999913766e-07"
"GB-BV-065",115.087089434819,-33.3527387593815,"1.70653999913766e-07"
"GB-BV-066",115.312571706561,-33.486860122658,"1.70653999913766e-07"
"GB-BV-067",115.536994512566,-33.4016851921598,"1.70653999913766e-07"
"GB-BV-068",115.309586713574,-33.36424227705,"1.70653999913766e-07"
"GB-BV-069",115.297360448049,-33.3564755246457,"1.70653999913766e-07"
"GB-BV-070",115.224906024829,-33.4451179249713,"1.70653999913766e-07"
"GB-BV-071",115.170648241122,-33.5035567708131,"1.70653999913766e-07"
"GB-BV-072",115.375568968946,-33.4293297150866,"1.70653999913766e-07"
"GB-BV-073",115.159070679277,-33.4636581062831,"1.70653999913766e-07"
"GB-BV-074",115.464148300336,-33.5225691423105,"1.70653999913766e-07"
"GB-BV-075",115.114267312056,-33.4909270686884,"1.70653999913766e-07"
"GB-BV-076",115.334848203093,-33.4313492188965,"1.70653999913766e-07"
"GB-BV-077",115.085060911626,-33.4490804494436,"1.70653999913766e-07"
"GB-BV-078",115.306112040586,-33.640674169111,"1.70653999913766e-07"
"GB-BV-079",115.188397709286,-33.589205365186,"1.70653999913766e-07"
"GB-BV-080",115.367333399838,-33.39625755113,"1.70653999913766e-07"
"GB-BV-081",115.240542229859,-33.4597008769393,"1.70653999913766e-07"
"GB-BV-082",115.330233666691,-33.4887789098777,"1.70653999913766e-07"
"GB-BV-083",115.521326061243,-33.3871338674334,"1.70653999913766e-07"
"GB-BV-084",115.359102978577,-33.3631869582713,"1.70653999913766e-07"
"GB-BV-085",115.199710992998,-33.377991312955,"1.70653999913766e-07"
"GB-BV-086",115.467570183005,-33.5293742010912,"1.70653999913766e-07"
