Sample,Site,Depth_m,Lon,Lat,Current_LTM_Site,Location,Status,DBCA_Zone,DBCA_Sanctuary,Years_Sampled,Notes
CNB3-2,CNB3,30,115.0055647,-33.52059083,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-3,CNB3,28,115.0069548,-33.52236947,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-4,CNB3,23.9,115.01,-33.52219999,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB3-5,CNB3,29,115.0086,-33.52009999,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-1,CNB4,38,114.9987109,-33.52209974,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-2,CNB4,35.4,114.9954458,-33.52313273,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-3,CNB4,35.8,114.9932364,-33.52141712,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-4,CNB4,31,114.9976656,-33.52417477,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB4-5,CNB4,43,114.9958122,-33.52076115,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB5-1,CNB5,27,114.9964036,-33.53450529,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB5-2,CNB5,30.7,114.9934723,-33.53508021,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB5-3,CNB5,27.3,114.9963821,-33.53691274,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB5-4,CNB5,20.3,114.9989,-33.53519999,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB5-5,CNB5,24.5,114.9968675,-33.53231343,Yes,Ngari Capes,No-take,Sanctuary,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB6-1,CNB6,28,114.9986022,-33.54807886,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB6-2,CNB6,26.2,114.9983004,-33.54592295,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB6-3,CNB6,30,114.9959076,-33.54513246,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB6-4,CNB6,23.4,115.0005207,-33.54527612,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB6-5,CNB6,26,114.998365,-33.54351542,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB7-1,CNB7,27.6,114.9992299,-33.55384838,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB7-2,CNB7,30,114.9971118,-33.5547377,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB7-3,CNB7,24.8,114.9993754,-33.55611216,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB7-4,CNB7,22,115.0013965,-33.55368669,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
CNB7-5,CNB7,29,114.9987772,-33.55225833,Yes,Ngari Capes,Fished,General Use,Cape Naturaliste,"2009, 2010, 2013, 2015, 2019, 2022",
EGB1-1,EGB1,9.4,115.44194,-33.54528,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB1-2,EGB1,10,115.44287,-33.5429,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB1-3,EGB1,10.3,115.44194,-33.54024,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB1-4,EGB1,10.3,115.44573,-33.54152,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB1-5,EGB1,10.3,115.43858,-33.54407,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB2-1,EGB2,9.9,115.43209,-33.55357,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB2-2,EGB2,9.9,115.43568,-33.55262,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB2-3,EGB2,10.5,115.42988,-33.55155,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB2-4,EGB2,10.2,115.4367,-33.54995,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB2-5,EGB2,10.4,115.43354,-33.54821,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB3-1,EGB3,10.2,115.42083,-33.56578,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB3-2,EGB3,9.7,115.42043,-33.56322,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB3-3,EGB3,10,115.42218,-33.56147,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB3-4,EGB3,9.3,115.42511,-33.56521,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB3-5,EGB3,9.7,115.42584,-33.56315,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB4-1,EGB4,9.8,115.41552,-33.57303,No,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",Dropped as to close to EGB5 and already enough site replication given seagrass
EGB4-2,EGB4,9.7,115.41727,-33.57036,No,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",Dropped as to close to EGB5 and already enough site replication given seagrass
EGB4-3,EGB4,10.2,115.41414,-33.56972,No,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",Dropped as to close to EGB5 and already enough site replication given seagrass
EGB4-4,EGB4,10.6,115.41084,-33.5704,No,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",Dropped as to close to EGB5 and already enough site replication given seagrass
EGB4-5,EGB4,10.3,115.41163,-33.57296,No,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",Dropped as to close to EGB5 and already enough site replication given seagrass
EGB5-1,EGB5,9.9,115.41195,-33.57802,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB5-2,EGB5,9.1,115.41193,-33.5755,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB5-3,EGB5,9.9,115.41492,-33.57818,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB5-4,EGB5,10.2,115.40905,-33.57782,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB5-5,EGB5,9.4,115.4119,-33.58037,Yes,Ngari Capes,No-take,Sanctuary,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB6-1,EGB6,9,115.39604,-33.59726,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB6-2,EGB6,8.7,115.39642,-33.60056,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB6-3,EGB6,9.1,115.39216,-33.60185,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB6-4,EGB6,17,115.38932,-33.59827,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB6-5,EGB6,10,115.39229,-33.59482,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB7-1,EGB7,8.3,115.37462,-33.60898,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB7-2,EGB7,9,115.37367,-33.60515,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB7-3,EGB7,9.1,115.37551,-33.60283,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB7-4,EGB7,9.4,115.37972,-33.60416,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
EGB7-5,EGB7,8.9,115.37981,-33.60751,Yes,Ngari Capes,Fished,General Use,East Geographe Bay,"2013, 2015, 2019, 2022",
INB1-1,INB1,30.1,114.9890778,-33.66320238,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB1-2,INB1,26,114.9929741,-33.66333716,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB1-3,INB1,30.5,114.9864784,-33.66426026,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB1-4,INB1,27.5,114.9934,-33.66039997,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB1-5,INB1,23.5,114.9903641,-33.66479921,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB2-1,INB2,32,114.9816483,-33.66958737,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB2-2,INB2,33,114.9816,-33.67129996,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB2-3,INB2,25,114.984336,-33.6703285,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB2-4,INB2,23,114.9850484,-33.6725922,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB2-5,INB2,23,114.985696,-33.66857677,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB3-1,INB3,26,114.9765615,-33.6830441,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB3-2,INB3,28,114.9779433,-33.68101384,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB3-3,INB3,32.5,114.9742561,-33.6806255,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB3-4,INB3,33,114.973414,-33.6828084,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB3-5,INB3,27,114.979174,-33.68381658,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB4-1,INB4,23,114.9762703,-33.69028472,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB4-2,INB4,32.8,114.9715736,-33.68880247,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB4-3,INB4,20,114.981226,-33.690635,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB4-4,INB4,31,114.970478,-33.69113348,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB4-5,INB4,25,114.9747,-33.69259997,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB5-1,INB5,33,114.9642,-33.69800001,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB5-2,INB5,33.2,114.9629565,-33.69969919,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB5-3,INB5,31,114.9648353,-33.69614191,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB5-4,INB5,29.1,114.9666,-33.7004,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB5-5,INB5,27,114.969,-33.69770003,Yes,Ngari Capes,No-take,Sanctuary,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB6-1,INB6,27.6,114.9603503,-33.71087638,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB6-2,INB6,27.2,114.9575479,-33.7117657,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB6-3,INB6,28,114.9606743,-33.71316707,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB6-4,INB6,20,114.9589087,-33.70892256,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB6-5,INB6,22,114.9628449,-33.71180618,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB7-1,INB7,31.3,114.9672541,-33.72054893,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
INB7-2,INB7,23.7,114.9738959,-33.72342358,Yes,Ngari Capes,Fished,General Use,Injidup,"2009, 2010, 2013, 2015, 2019, 2022",
