"","Z","macroalgae","inverts","seagrass","mean_relief","slope","detrended","roughness"
"greater than Lm carnivores",0.246,0.082,0.16,0.107,0.092,0.098,0.275,0.069
"smaller than Lm carnivores",0.144,0.199,0.25,0.258,0.128,0.061,0.08,0.077
