Sample	Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.	Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.	Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.	Relief: 3. Good relief structure with some overhangs. >45 substrate slope.	Relief: 4. High structural complexity, fissures and caves. Vertical wall. ~90 substrate slope.	fieldofview.Facing Down	fieldofview.Facing Up	fieldofview.Limited	fieldofview.Open	Biota: Consolidated	Biota: Macroalgae	Biota: Seagrasses	Biota: Sponges	Biota: Stony.corals	Biota: Unconsolidated
MF-CNB1-1	0.0	0.0	4.0	14.0	0.0	0.0	0.0	0.0	20.0	0.0	18.0	0.0	0.0	0.0	0.0
MF-CNB1-2	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	0.0	0.0	0.0	0.0
MF-CNB1-3	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	9.0	0.0	0.0	0.0	0.0
MF-CNB1-4	0.0	0.0	19.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
MF-CNB1-5	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-CNB2-2	0.0	0.0	7.0	0.0	0.0	0.0	0.0	3.0	17.0	0.0	7.0	0.0	0.0	0.0	0.0
MF-CNB2-3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-CNB2-4	0.0	2.0	11.0	4.0	1.0	0.0	0.0	0.0	20.0	0.0	16.0	0.0	0.0	0.0	2.0
MF-CNB2-5	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	6.0	4.0	0.0	0.0	0.0
MF-CNB3-5	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	12.0	0.0	0.0	0.0	0.0
MF-CNB4-2	1.0	4.0	2.0	3.0	0.0	0.0	0.0	0.0	20.0	0.0	5.0	0.0	0.0	0.0	5.0
MF-CNB4-5	0.0	3.0	7.0	6.0	0.0	0.0	0.0	0.0	20.0	0.0	13.0	0.0	0.0	0.0	3.0
MF-CNB5-3	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	10.0	0.0	0.0	0.0	0.0
MF-CNB6-1	0.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0
MF-CNB6-2	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	15.0	0.0	0.0	0.0	0.0
MF-CNB6-3	0.0	0.0	15.0	5.0	0.0	0.0	0.0	0.0	20.0	0.0	20.0	0.0	0.0	0.0	0.0
