Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,Comment,VISIBILITY,DATE_TIME,TIMEIN,TIMEOUT,BENTHOS,DETAIL.BENTHOS,RELIEF,DETIAL.RELIEF,TIMEONSEABED,ENDSAMPLINGTIME
MF-CNB1-1,-33.5201841,115.0222796,20070303,13:16:00,Capes.North,Fished,Cape.Naturaliste,20,NA,Yes,Yes,Medium profile reef and kelp,8,2007-03-03T13:16:00Z,1899-12-30T13:16:00Z,1899-12-30T14:16:00Z,KELP,ECK,MPR,MPR,2,62
MF-CNB1-2,-33.52151909,115.0234335,20070303,13:21:00,Capes.North,Fished,Cape.Naturaliste,21,NA,Yes,Yes,Medium profile reef and kelp,4,2007-03-03T13:21:00Z,1899-12-30T13:21:00Z,1899-12-30T14:21:00Z,KELP,ECK,LPR,MPR,2,63
MF-CNB1-3,-33.52016351,115.023249,20070303,13:26:00,Capes.North,Fished,Cape.Naturaliste,22,NA,Yes,Yes,low profile reef  and macroalgae,4,2007-03-03T13:26:00Z,1899-12-30T13:26:00Z,1899-12-30T14:26:00Z,MAC,MAC,LPR,LPR,1,56
MF-CNB1-4,-33.51925428,115.023345,20070303,13:30:00,Capes.North,Fished,Cape.Naturaliste,22,NA,Yes,Yes,medium profile reef and Macroalgae,8,2007-03-03T13:30:00Z,1899-12-30T13:30:00Z,1899-12-30T14:30:00Z,MAC,ECK,LPR,MPR,2,63
MF-CNB1-5,-33.52136525,115.0250949,20070303,13:34:00,Capes.North,Fished,Cape.Naturaliste,20,NA,Yes,Yes,Low Profile Reef and kelp,8,2007-03-03T13:34:00Z,1899-12-30T13:34:00Z,1899-12-30T14:34:00Z,KELP,MAC,LPR,LPR,1,62
MF-CNB2-1,-33.51951354,115.0164382,20070303,13:44:00,Capes.North,Fished,Cape.Naturaliste,19,NA,Yes,Yes,Medium profile reef and kelp,5,2007-03-03T13:44:00Z,1899-12-30T13:44:00Z,1899-12-30T14:44:00Z,KELP,ECK,LPR,MPR,1,62
MF-CNB2-2,-33.51819833,115.0165221,20070303,13:39:00,Capes.North,Fished,Cape.Naturaliste,23,NA,Yes,Yes,high profile reef and kelp,4,2007-03-03T13:39:00Z,1899-12-30T13:39:00Z,1899-12-30T14:39:00Z,KELP,SI,MPR,HPR,1,63
MF-CNB2-3,-33.51794849,115.0149991,20070303,14:49:00,Capes.North,Fished,Cape.Naturaliste,27,NA,Yes,Yes,sand inundated reef and macroalgae and sea grass,5,2007-03-03T14:49:00Z,1899-12-30T14:49:00Z,1899-12-30T15:49:00Z,KELP,ECK,LPR,LPR,4,63
MF-CNB2-4,-33.51828435,115.017952,20070303,14:53:00,Capes.North,Fished,Cape.Naturaliste,24,NA,Yes,Yes,Medium profile reef and kelp,8,2007-03-03T14:53:00Z,1899-12-30T14:53:00Z,1899-12-30T15:53:00Z,KELP,MAC,MPR,MPR,2,62
MF-CNB2-5,-33.51696287,115.016518,20070303,14:56:00,Capes.North,Fished,Cape.Naturaliste,28,NA,Yes,No,Sand and Seagrass,8,2007-03-03T14:56:00Z,1899-12-30T14:56:00Z,1899-12-30T15:56:00Z,SG,SG,SA,SIR,1,63
MF-CNB3-1,-33.52168589,115.0079588,20070303,14:56:00,Capes.North,Fished,Cape.Naturaliste,25,NA,No,No,meadium profile reef and Ecklonia,8,2007-03-03T14:56:00Z,1899-12-30T14:56:00Z,1899-12-30T15:56:00Z,KELP,ECK,LPR,MPR,1,63
