OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
113	31	0	865.05247	548.78358	730.46380	574.51493
113	31	1	769.85834	563.39179	637.28437	588.61940
113	32	0	747.71459	302.48881	521.72193	340.36940
113	32	1	642.95068	300.47388	402.35152	348.93284
113	33	0	716.66317	627.16791	500.72928	655.83955
113	33	1	630.03148	619.61194	381.35887	649.29104
113	34	0	1521.15215	615.95522	1367.86884	638.79851
113	34	1	1420.41763	611.42164	1255.04617	635.77612
113	35	0	1391.86884	566.44403	1224.87303	593.80597
113	35	1	1282.57188	546.29478	1118.59811	571.13806
113	36	0	1477.99685	587.60075	1382.52256	610.42910
113	36	1	1390.86149	595.66045	1283.80273	616.97761
113	37	0	1419.57083	621.85448	1291.86149	645.18657
113	37	1	1315.31060	615.80970	1192.13431	638.63806
113	38	0	1291.60756	634.57836	1154.78804	658.42910
113	38	1	1196.41343	617.45149	1064.12697	646.33955
113	39	0	1294.62959	606.87313	1135.64848	634.25000
113	39	1	1201.95383	599.31716	1047.00210	626.69403
113	40	0	1140.50577	578.16045	1025.34418	603.01866
113	40	1	1062.94019	589.74627	934.68311	612.58955
113	41	0	578.72613	179.99254	341.12277	236.82090
113	41	1	501.16055	202.15672	227.29276	255.96269
113	42	0	740.20357	218.58582	460.52466	263.04478
113	42	1	643.49843	201.96269	320.00000	250.45149
113	43	0	1053.54565	326.23881	835.94648	351.22761
113	43	1	965.40294	309.11194	723.62749	340.64925
113	44	0	975.78489	341.46642	824.81742	377.92537
113	44	1	895.70094	338.44403	715.01679	369.36194
113	45	0	922.39559	288.57463	754.30325	319.99627
113	45	1	832.23820	284.04104	643.49528	326.04104
113	46	0	920.88458	239.71269	732.14166	275.66791
113	46	1	820.15005	231.14925	604.71249	271.13433
113	47	0	1069.13012	473.56343	910.99475	507.08955
113	47	1	956.30745	453.91791	794.14271	487.44403
113	48	0	900.87723	498.48507	812.43232	520.29478
113	48	1	805.68311	506.04104	714.71983	531.37687
113	49	0	977.43547	536.26493	829.55719	569.15672
113	49	1	882.74502	529.71642	726.80797	560.59328
113	50	0	1012.89507	579.51119	909.92550	603.38060
113	50	1	917.19727	578.50373	807.67996	602.87687
113	51	0	721.01889	142.13806	556.31270	182.40299
113	51	1	636.40189	145.66418	444.49738	187.94403
113	52	0	621.79538	148.68657	415.78804	193.98881
113	52	1	509.98006	147.17537	290.37356	194.99627
113	53	0	671.15530	200.06716	443.99370	242.85075
113	53	1	558.33263	202.58582	308.50577	244.36194
113	54	0	621.29171	230.29104	393.12277	276.09701
113	54	1	493.35887	229.28358	247.05771	279.11940
113	55	0	848.12277	413.91791	703.01679	451.23881
113	55	1	746.38090	413.91791	592.20881	444.69030
113	56	0	884.38720	411.90299	809.29171	440.15672
113	56	1	814.88038	398.30224	729.20776	436.12687
113	57	0	628.89087	394.60821	423.03463	437.94776
113	57	1	507.50577	386.04478	290.56873	424.85075
113	58	0	1080.47954	674.95522	968.94334	708.46642
113	58	1	993.84785	669.91791	881.30430	693.35448
113	59	0	1184.23610	623.07090	1067.66317	665.14552
113	59	1	1079.47219	611.98881	966.92865	640.96642
113	60	0	1098.10808	573.20149	991.10493	604.19403
113	60	1	997.87723	569.17164	891.88143	594.62313
113	61	0	853.89507	644.47388	478.49843	639.12687
113	61	1	751.64953	655.55597	359.12802	653.73507
113	62	0	767.17419	295.34701	564.10808	329.34701
113	62	1	698.17104	294.33955	453.80378	329.85075
113	63	0	754.58237	353.77985	543.96118	394.32836
113	63	1	681.54984	346.72761	432.64953	386.26866
113	64	0	747.53095	336.14925	654.26548	376.69776
113	64	1	662.91396	313.98507	555.54565	361.08209
113	65	0	1265.10808	588.63806	1120.65268	633.77985
113	65	1	1163.36621	560.93284	1018.91081	598.51866
113	66	0	1397.07030	603.75000	1267.72508	643.35075
113	66	1	1285.75866	579.57090	1156.41343	613.63060
113	67	0	1325.04512	507.53731	1224.40923	534.04104
113	67	1	1219.77754	507.03358	1124.17838	529.50746
113	68	0	1458.05981	537.17910	1313.05561	572.82836
113	68	1	1335.66737	516.02239	1186.63379	546.13060
113	69	0	1110.77335	517.57836	1007.11962	549.92537
113	69	1	1017.09024	505.99254	898.83001	553.45149
113	70	0	1014.06821	518.58582	916.45855	547.40672
113	70	1	922.90346	508.51119	825.29381	540.85821
113	71	0	1144.51941	525.13433	1033.31060	550.42910
113	71	1	1057.38405	519.59328	945.67156	546.90299
113	72	0	847.34732	610.35448	711.43127	637.09701
113	72	1	760.21196	624.96269	606.16369	644.65299
113	73	0	1098.15110	628.59328	824.99895	644.56343
113	73	1	1016.55614	630.60821	734.33788	641.03731
113	74	0	675.61175	315.70522	466.54250	356.33955
113	74	1	580.92130	305.63060	350.69780	354.32463
113	75	0	671.15215	405.23134	384.18888	443.47388
113	75	1	564.87723	407.75000	243.16055	445.48881
113	76	0	655.03463	359.39179	389.72928	399.64925
113	76	1	562.35887	361.91045	259.78174	401.16045
113	77	0	752.69990	459.62313	506.73033	492.23134
113	77	1	650.95803	444.51119	371.74607	478.12687
113	78	0	821.19937	445.01493	603.43547	482.15672
113	78	1	743.13012	414.79104	500.18258	450.42164
113	79	0	831.27282	402.70149	651.78804	435.81343
113	79	1	742.12277	409.25000	548.03148	439.84328
113	80	0	609.52361	500.00746	448.20357	533.62313
113	80	1	485.11647	497.48881	323.29276	537.65299
113	81	0	615.06401	463.73881	328.32949	498.86567
113	81	1	519.86988	468.77612	201.40399	508.43657
113	82	0	585.85100	537.78731	348.47639	572.41045
113	82	1	485.11647	523.17910	216.01049	560.32090
113	83	0	438.95698	395.18657	190.89192	440.46642
113	83	1	293.39559	373.52612	39.28646	426.36194
113	84	0	624.35782	560.45896	460.39140	594.07463
113	84	1	527.65268	550.38433	346.56139	584.00000
113	85	0	803.75131	561.49627	578.75446	587.02239
113	85	1	695.96537	571.06716	456.36201	602.63806
113	86	0	872.25079	603.30597	673.44491	635.38060
113	86	1	768.99790	607.33582	568.68101	633.86940
113	87	0	998.06716	480.71642	835.07135	506.46642
113	87	1	923.52361	434.37313	750.45435	467.67910
113	88	0	955.75866	501.36940	755.99475	528.63060
113	88	1	886.25184	489.78358	655.76390	520.06716
113	89	0	672.53095	625.61567	436.60126	654.28358
113	89	1	581.36621	619.57090	318.23820	652.26866
113	90	0	672.53095	647.77985	503.08604	672.41791
113	90	1	592.95068	671.45522	401.84785	695.08582
113	91	0	617.01994	173.04478	288.22246	225.97761
113	91	1	502.18258	151.38433	126.54355	211.87313
113	92	0	562.62329	246.58955	371.83211	294.48507
113	92	1	464.91081	200.24627	256.99475	262.24627
113	93	0	819.91291	445.19403	603.33263	481.00000
113	93	1	738.82162	405.39925	498.56873	451.27985
113	94	0	608.57503	499.23881	446.36201	534.88806
113	94	1	485.17524	500.24627	323.46590	536.39925
113	95	0	439.56768	394.10448	190.89192	440.03731
113	95	1	294.50997	371.94030	37.27177	427.94776
113	96	0	671.35782	404.74254	381.87723	444.09701
113	96	1	563.06821	407.26119	243.87093	447.62313
113	97	0	654.73662	359.40672	390.43966	399.26493
113	97	1	558.03148	362.93284	264.01784	401.78358
113	98	0	674.88353	315.58209	466.49423	355.94403
113	98	1	581.20042	306.01119	353.16789	354.93657
113	99	0	754.61070	458.52612	507.11542	491.04478
113	99	1	652.86884	441.90299	373.13851	480.46642
113	100	0	615.19622	459.51866	328.49108	499.57836
113	100	1	517.48374	471.60821	198.54355	506.63060
113	101	0	661.58237	299.63060	342.19307	343.46642
113	101	1	563.36621	274.44403	216.77859	322.30970
113	102	0	573.15950	342.36940	255.86569	390.68284
113	102	1	454.79643	331.28731	99.72718	385.14179
113	103	0	586.88772	536.61567	345.15635	568.91791
113	103	1	486.15320	523.01493	217.22350	557.33209
113	104	0	622.64848	558.27612	457.97901	591.58582
113	104	1	524.93599	555.75746	349.18573	584.02985
113	105	0	804.83631	560.48881	577.63064	589.92537
113	105	1	694.02833	567.54104	456.74921	601.00746
113	106	0	830.01994	521.19776	650.15950	548.61940
113	106	1	750.94334	531.77612	548.41763	559.19776
113	107	0	956.44176	504.07090	756.43442	528.47015
113	107	1	882.90556	489.46269	655.69990	516.38060
113	108	0	874.57817	606.50373	674.49738	636.08955
113	108	1	775.85834	605.49627	563.18573	631.55597
113	109	0	673.25918	646.14925	502.52361	671.03731
113	109	1	595.18993	670.32836	403.80378	695.21642
113	110	0	672.75551	627.51119	437.54984	657.94030
113	110	1	581.08709	624.99254	322.71249	653.40672
113	111	0	555.97587	659.72388	352.00105	684.89552
113	111	1	464.81112	687.93284	238.17104	715.11940
113	112	0	498.05352	741.83209	243.71144	763.47761
113	112	1	364.07660	747.37313	138.94753	767.50746
113	113	0	524.24449	701.02985	237.66737	723.17910
113	113	1	419.48059	702.54104	104.69780	733.25373
113	114	0	862.54879	246.11194	626.39874	281.02239
113	114	1	759.79958	222.94030	504.00630	264.39925
113	115	0	830.57817	401.96269	650.58972	435.01493
113	115	1	735.88772	407.50373	546.32949	441.56343
113	116	0	958.46800	391.05224	750.22980	421.78358
113	116	1	860.75551	372.91791	634.88877	402.64179
113	117	0	1057.71144	600.45896	890.77020	626.13433
113	117	1	943.88143	592.90299	774.92550	620.08955
113	118	0	946.90346	579.30224	763.34103	606.99254
113	118	1	859.76810	563.68657	665.12487	593.39179
113	119	0	999.02728	479.44403	831.80693	507.74254
113	119	1	925.49108	434.61194	746.18258	465.42910
113	120	0	497.81322	744.05224	248.81427	762.40672
113	120	1	362.82896	751.10448	137.50262	768.45149
113	121	0	522.88038	701.59328	236.72613	723.38433
113	121	1	423.15320	706.63060	102.24554	732.45149
113	122	0	356.90556	428.37687	137.50262	473.26866
113	122	1	258.18573	449.02985	2.01469	494.92910
113	123	0	608.28437	498.48134	448.42078	531.01493
113	123	1	482.86988	514.09701	324.01364	533.53358
113	124	0	1007.34418	549.66791	1085.88562	573.20149
113	124	1	1126.71459	553.19403	1198.20462	575.21642
113	125	0	1108.40189	1051.79104	650.28122	1076.47388
113	125	1	362.44701	806.58955	13.09549	825.02239
114	0	0	410.91818	1048.63485	795.74953	1059.42286
114	0	1	1060.89257	965.66815	1318.47783	929.28191
114	1	0	539.51718	1008.07991	878.94566	1015.67148
114	1	1	839.85509	1070.41065	1211.86196	1052.03108
114	2	0	603.97002	752.82020	815.34041	748.02220
114	2	1	845.01936	742.33185	1014.41599	719.25416
114	3	0	326.58214	646.05660	153.27733	652.94451
114	3	1	445.30793	632.87125	275.30106	640.65816
114	4	0	1720.02498	650.70921	1693.94129	612.44950
114	4	1	1857.63898	636.02553	1836.05247	594.16981
114	5	0	1467.72080	674.90344	1451.96752	645.31521
114	5	1	1603.03623	664.51498	1580.28732	625.33740
114	6	0	620.98001	1035.64928	942.30731	1031.25416
114	6	1	822.25422	1036.04883	1153.09182	1019.06770
114	7	0	881.96752	1025.66038	1206.77826	1002.05660
114	7	1	1063.05434	990.89900	1403.85509	950.91343
114	8	0	1043.14678	1031.25416	1384.57964	991.29856
114	8	1	1285.70019	1062.21976	1640.41974	1004.48391
114	9	0	288.79325	632.52830	465.93504	630.07547
114	9	1	529.64272	625.93563	702.86446	614.69700
114	10	0	873.96502	584.08546	987.75328	563.30078
114	10	1	1063.24672	573.29745	1165.44222	551.71365
114	11	0	491.12804	535.72253	260.56215	529.46837
114	11	1	576.67458	531.92675	356.70206	525.27303
114	12	0	751.97502	309.65483	1133.66958	286.46282
114	12	1	806.24110	309.05549	1186.73641	286.76249
114	13	0	719.29544	360.59822	1151.05871	334.70921
114	13	1	779.55778	358.50055	1213.71955	335.00888
114	14	0	728.88944	379.17758	1087.49844	352.98890
114	14	1	784.05497	375.58158	1150.75890	353.88790
114	15	0	688.11493	409.74362	1081.20237	385.65261
114	15	1	739.68270	408.84462	1147.46096	382.05660
114	16	0	1326.37102	526.21532	1289.19425	501.04329
114	16	1	1910.40600	462.68590	1738.91318	445.90455
11R2	0	0	1468.70934	810.00000	439.20252	836.19403
11R3	0	0	1190.68206	771.71642	459.34942	717.31343
11R4	0	0	1291.41658	660.89552	554.03987	697.16418
12RC9	0	0	1369.02256	573.67483	591.87970	619.37639
13RC13	0	0	1600.51417	644.14925	1505.09654	613.08955
13RC13	0	1	1674.80588	615.98507	1604.57188	579.08955
13RC13	1	0	1611.03463	609.92537	1562.10283	573.43284
13RC13	1	1	1734.18258	617.28358	1687.76915	580.28358
13RC13	2	0	839.38930	564.10448	962.35992	560.29104
13RC13	2	1	874.64638	509.19776	1002.48583	500.68284
13RC13	3	0	922.78489	610.92164	971.09864	600.20149
13RC13	3	1	935.88038	677.24627	994.58027	664.10448
13RC13	4	0	1049.65373	701.19403	828.03778	679.02985
13RC13	5	0	662.30115	580.25746	639.84785	575.95522
13RC13	5	1	744.56768	572.19776	721.10703	565.88060
13RC13	6	0	636.62749	603.55224	431.19622	597.17164
13RC13	6	1	503.65792	577.02239	305.94963	578.02985
13RC13	7	0	1750.76600	1007.46269	944.88982	955.07463
13RC13	7	1	1446.54774	1029.62687	697.08290	993.35821
13RC13	8	0	1614.10073	742.03731	1627.28961	725.57463
13RC13	8	1	1466.02099	733.64179	1471.15110	710.79851
13RC13	9	0	1602.13326	481.32090	1055.00630	436.75373
13RC13	9	1	1226.81007	379.55970	631.07240	356.94776
13RC13	10	0	857.68206	477.35821	911.47114	468.88060
13RC13	10	1	669.64428	469.29851	724.10493	473.91791
13RC13	11	0	1250.62644	485.07463	1108.28332	464.02239
13RC13	11	1	1532.57922	378.18657	1384.47429	333.46269
13RC13	12	0	1520.97377	550.39552	1485.74816	513.61940
13RC13	12	1	1369.53620	481.88806	1331.28856	443.09701
13RC13	13	0	1044.59916	742.23134	671.99580	722.90299
13RC13	13	1	598.81217	602.51493	245.93284	594.02985
13RC13	14	0	1644.58342	588.08955	1850.82896	552.07463
13RC13	14	1	1415.24449	564.58209	1567.82476	538.40299
13RC13	15	0	1295.92445	572.82090	1451.28961	554.05970
13RC13	15	1	1036.69990	548.87313	1149.02833	536.09701
13RC13	16	0	888.47849	739.47761	678.95068	729.40299
13RC13	17	0	593.97587	686.92537	269.96852	674.63433
13RC13	17	1	379.07555	721.85075	34.24974	712.91791
13RC13	18	0	735.64743	707.08955	407.20252	691.67164
13RC13	18	1	632.39454	780.67164	290.85414	762.71642
13RC13	19	0	340.41973	505.50746	682.37566	521.77612
2	0	0	1372.63158	800.97996	576.24060	766.10245
442	0	0	686.23574	911.97294	146.00760	922.93123
442	0	1	848.06084	882.75085	347.98479	901.01466
442	1	0	779.92395	949.71815	175.20913	969.19955
442	1	1	659.46768	1008.16234	51.10266	1019.12063
442	2	0	545.09506	1032.51409	7.30038	1045.90755
442	3	0	608.36502	961.89402	320.00000	966.76437
442	3	1	817.64259	989.89853	586.46388	1003.29200
442	4	0	374.75285	1071.47689	232.39544	1065.38895
442	4	1	423.42205	919.27847	292.01521	922.93123
442	5	0	367.45247	1048.34273	208.06084	1038.60203
442	5	1	483.04183	953.37091	305.39924	958.24126
442	6	0	1018.40304	947.28298	549.96198	961.89402
442	6	1	721.52091	1058.08343	290.79848	1066.60654
442	7	0	1163.19392	876.66291	484.25856	907.10259
442	8	0	1041.52091	898.57948	407.60456	905.88501
442	9	0	1015.96958	808.47802	372.31939	855.96392
442	10	0	777.49049	490.68771	85.17110	522.34498
442	11	0	1204.56274	441.98422	249.42966	482.16460
442	12	0	596.19772	786.56144	283.49810	823.08906
442	13	0	865.09506	1025.20857	47.45247	1049.56032
442	14	0	1009.88593	466.33596	442.88973	471.20631
442	15	0	1133.99240	760.99211	362.58555	801.17249
442	16	0	1013.53612	443.20180	462.35741	484.59977
442	17	0	664.33460	583.22435	333.38403	616.09921
442	18	0	1793.46008	1053.21308	734.90494	1066.60654
442	19	0	1366.38783	1059.30101	614.44867	1050.77790
442	20	0	710.57034	658.71477	307.83270	690.37204
442	21	0	173.99240	859.61669	40.15209	868.13980
442	22	0	270.11407	681.84893	52.31939	720.81172
442	23	0	322.43346	623.40474	108.28897	645.32131
442	24	0	239.69582	739.07554	58.40304	763.42728
