OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
122	1.09	2023 01 17 09:10:16	I:\	122.EMObs
135	1.09	2023 01 17 09:10:16	I:\	135.EMObs
143	1.09	2023 01 17 09:10:16	I:\	143.EMObs
160	1.09	2023 01 17 09:10:16	I:\	160.EMObs
167	1.09	2023 01 17 09:10:16	G:\	167.EMObs
170	1.09	2023 01 17 09:10:16	I:\	170.EMObs
183	1.09	2023 01 17 09:10:16	E:\	183.EMObs
196	1.09	2023 01 17 09:10:16	E:\	196.EMObs
207	1.09	2023 01 17 09:10:16	G:\	207.EMObs
224	1.09	2023 01 17 09:10:16	G:\	224.EMObs
240	1.09	2023 01 17 09:10:16	F:\	240.EMObs
256	1.09	2023 01 17 09:10:16	G:\	256.EMObs
270	1.09	2023 01 17 09:10:16	E:\	270.EMObs
271	1.09	2023 01 17 09:10:16	I:\	271.EMObs
272	1.09	2023 01 17 09:10:16	G:\	272.EMObs
282	1.09	2023 01 17 09:10:16	G:\	282.EMObs
287	1.09	2023 01 17 09:10:16	E:\	287.EMObs
288	1.09	2023 01 17 09:10:16	F:\	288.EMObs
327	1.09	2023 01 17 09:10:16	E:\	327.EMObs
331	1.09	2023 01 17 09:10:16	E:\	331.EMObs
335	1.09	2023 01 17 09:10:16	F:\	335.EMObs
375	1.09	2023 01 17 09:10:16	I:\	375.EMObs
378	1.09	2023 01 17 09:10:16	E:\	378.EMObs
384	1.09	2023 01 17 09:10:16	F:\	384.EMObs
391	1.09	2023 01 17 09:10:16	E:\	391.EMObs
394	1.09	2023 01 17 09:10:16	E:\	394.EMObs
400	1.09	2023 01 17 09:10:16	E:\	400.EMObs
407	1.09	2023 01 17 09:10:16	I:\	407.EMObs
443	1.09	2023 01 17 09:10:16	E:\	443.EMObs
455	1.09	2023 01 17 09:10:16	I:\	455.EMObs
490	1.09	2023 01 17 09:10:16	I:\	490.EMObs
506	1.09	2023 01 17 09:10:16	E:\	506.EMObs
523	1.09	2023 01 17 09:10:16	E:\	523.EMObs
527	1.09	2023 01 17 09:10:16	E:\	527.EMObs
554	1.09	2023 01 17 09:10:16	G:\	554.EMObs
583	1.09	2023 01 17 09:10:16	I:\	583.EMObs
