"family","genus","species","mean.kg","max.kg","min.kg","min.length","mean.length","max.length"
"Sillaginidae","Sillaginodes","punctatus",133.928,8670.223,0.206,30.88,54.03,860.49
"Lamnidae","Isurus","oxyrinchus",62.673,62.673,62.673,203.81,203.81,203.81
"Carcharhinidae","Galeocerdo","cuvier",34.307,34.307,34.307,154.1,154.1,154.1
"Berycidae","Centroberyx","lineatus",12.016,106.524,0.105,19.47,42.38,190
"Carangidae","Seriola","hippos",6.105,28.512,0.224,22.54,61.59,113.31
"Triakidae","Mustelus","antarcticus",5.236,7.517,2.813,75.56,92.09,104.86
"Labridae","Achoerodus","gouldii",5.1,5.1,5.1,61.82,61.82,61.82
"Kyphosidae","Kyphosus","sydneyanus",4.416,4.416,4.416,53.94,53.94,53.94
"Cheilodactylidae","Dactylophora","nigricans",3.745,6.567,1.5,56.97,74.51,91.45
"Heterodontidae","Heterodontus","portusjacksoni",3.213,5.898,0.709,43.71,66.36,86.22
"Triakidae","Galeorhinus","galeus",2.737,2.737,2.737,81.01,81.01,81.01
"Kyphosidae","Kyphosus","spp",1.746,1.746,1.746,39.81,39.81,39.81
"Orectolobidae","Orectolobus","spp",1.742,1.742,1.742,64.75,64.75,64.75
"Cheilodactylidae","Nemadactylus","valenciennesi",1.696,4.043,0.615,32.75,44.11,61.08
"Aulopidae","Latropiscis","purpurissatus",1.518,1.518,1.518,54.69,54.69,54.69
"Scombridae","Unknown","spp",1.499,1.499,1.499,46.6,46.6,46.6
"Monacanthidae","Meuschenia","freycineti",1.489,1.489,1.489,45.79,45.79,45.79
"Sparidae","Chrysophrys","auratus",1.201,8.87,0.112,16.49,34.42,78.86
"Haemulidae","Plectorhinchus","flavomaculatus",1.199,1.199,1.199,36.82,36.82,36.82
"Scorpididae","Tilodon","sexfasciatus",1.048,1.048,1.048,34.12,34.12,34.12
"Glaucosomatidae","Glaucosoma","hebraicum",0.992,6.972,0.109,19.53,37.1,78.88
"Myliobatidae","Myliobatis","tenuicaudatus",0.932,2.255,0.096,26.35,53.65,73.3
"Paralichthyidae","Pseudorhombus","spp",0.916,0.916,0.916,42.75,42.75,42.75
"Scorpididae","Scorpis","aequipinnis",0.892,0.892,0.892,34.85,34.85,34.85
"Monacanthidae","Acanthaluteres","brownii",0.869,2.018,0.473,30.87,36.09,50.84
"Neosebastidae","Neosebastes","pandus",0.836,1.239,0.304,24.52,33.6,39.13
"Parascylliidae","Parascyllium","ferrugineum",0.824,0.824,0.824,50.95,50.95,50.95
"Labridae","Choerodon","rubescens",0.708,3.98,0.098,17.54,31.72,59.63
"Serranidae","Othos","dentex",0.615,0.615,0.615,41.94,41.94,41.94
"Labridae","Bodianus","frenchii",0.573,1.266,0.14,21.55,33.28,44.34
"Sparidae","Rhabdosargus","sarba",0.532,1.013,0.251,22.98,28.96,36.92
"Aracanidae","Anoplocapros","amygdaloides",0.432,0.498,0.334,25.3,27.5,28.9
"Scombridae","Scomber","australasicus",0.408,0.408,0.408,32.56,32.56,32.56
"Monacanthidae","Meuschenia","hippocrepis",0.375,0.532,0.167,21.59,27.85,32.16
