"campaignid","sample","family","genus","species"
"2014-12_Geographe.Bay_stereoBRUVs","527","Echeneidae","Remora","brachyptera"
"2014-12_Geographe.Bay_stereoBRUVs","684","Mullidae","Upeneichthys","lineatus"
"2014-12_Geographe.Bay_stereoBRUVs","89","Trygonorrhinidae","Aptychotrema","vincentiana"
"2014-12_Geographe.Bay_stereoBRUVs","9","Trygonorrhinidae","Aptychotrema","vincentiana"
"2007-03_Capes.MF_stereoBRUVs","MF-GB192","Caesioscorpididae","Caesioscorpis","theagenes"
