"campaignid","sample","family","genus","species","family_correct","genus_correct","species_correct"
"2014-12_Geographe.Bay_stereoBRUVs","735","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-3","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-3","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-3","Sillaginidae","Sillaginodes","punctata","Sillaginidae","Sillaginodes","punctatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-3","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-1","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-1","Ostraciidae","Anoplocapros","lenticularis","Aracanidae","Anoplocapros","lenticularis"
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-4","Sillaginidae","Sillaginodes","punctata","Sillaginidae","Sillaginodes","punctatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-4","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2014-12_Geographe.Bay_stereoBRUVs","13RC13","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2014-12_Geographe.Bay_stereoBRUVs","442","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","304","Sparidae","Pagrus","auratus","Sparidae","Chrysophrys","auratus"
"2014-12_Geographe.Bay_stereoBRUVs","304","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","416","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","463","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR2-2","Dasyatidae","Dasyatis","brevicaudata","Dasyatidae","Bathytoshia","brevicaudata"
"2014-12_Geographe.Bay_stereoBRUVs","499","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
"2014-12_Geographe.Bay_stereoBRUVs","GBR3-4","Myliobatidae","Myliobatis","australis","Myliobatidae","Myliobatis","tenuicaudatus"
