"sample","latitude","longitude","date","site","location","successful.count"
"MF-CNB1-1",-33.5201841,115.0222796,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB1-2",-33.52151909,115.0234335,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB1-3",-33.52016351,115.023249,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB1-4",-33.51925428,115.023345,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB1-5",-33.52136525,115.0250949,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB2-1",-33.51951354,115.0164382,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB2-2",-33.51819833,115.0165221,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB2-3",-33.51794849,115.0149991,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB2-4",-33.51828435,115.017952,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB2-5",-33.51696287,115.016518,20070303,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB3-1",-33.52168589,115.0079588,20070303,"Cape.Naturaliste","Capes.North","No"
"MF-CNB3-2",-33.52152556,115.0064014,20070303,"Cape.Naturaliste","Capes.North","No"
"MF-CNB3-3",-33.5228515,115.0075445,20070303,"Cape.Naturaliste","Capes.North","No"
"MF-CNB3-4",-33.52219722,115.0100357,20070305,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB3-5",-33.52011759,115.0085653,20070305,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB4-1",-33.52289919,114.999318,20070304,"Cape.Naturaliste","Capes.North","No"
"MF-CNB4-2",-33.52298231,114.9977657,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB4-3",-33.52416688,114.9990842,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB4-4",-33.52322534,115.0010869,20070304,"Cape.Naturaliste","Capes.North","No"
"MF-CNB4-5",-33.52240252,114.9987157,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB5-1",-33.53403354,114.996951,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB5-2",-33.53464705,114.9953001,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB5-3",-33.53403354,114.996951,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB5-4",-33.53516459,114.9988631,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB5-5",-33.53281455,114.9968499,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB6-1",-33.54756813,114.9985879,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB6-2",-33.54500221,114.9982809,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB6-3",-33.54541242,114.9968822,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB6-4",-33.54533166,114.9996948,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB7-1",-33.55388232,114.9987115,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB7-2",-33.55381652,114.9974313,20070304,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB7-3",-33.55584999,114.9988276,20070305,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB7-4",-33.55370875,115.0008048,20070305,"Cape.Naturaliste","Capes.North","Yes"
"MF-CNB7-5",-33.5526784,114.9984269,20070305,"Cape.Naturaliste","Capes.North","Yes"
"MF-GB018",-33.60790427,115.1973991,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB019",-33.6076042,115.2028047,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB036",-33.59150085,115.2475977,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB037",-33.59039751,115.2511973,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB043",-33.5917028,115.1518016,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB044",-33.57129911,115.1604992,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB047",-33.59060326,115.1982978,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB057",-33.57690392,115.1140983,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB058",-33.57589923,115.1179985,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB061",-33.58139618,115.1590998,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB064",-33.58179718,115.1880948,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB074",-33.57319811,115.1164951,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB077",-33.56839999,115.1378959,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB080",-33.57639775,115.2168001,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB091",-33.55389636,115.1479006,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB101",-33.56579717,115.1940952,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB104",-33.56809583,115.1537052,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB109",-33.55410455,115.0939042,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB112",-33.568404,115.2335002,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB113",-33.56969737,115.2362963,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB126",-33.56669549,115.2287952,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB128",-33.56540445,115.2369006,20070302,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB134",-33.56169981,115.1354977,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB145",-33.54539738,115.1344049,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB168",-33.54850245,115.1340043,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB173",-33.54690109,115.0834976,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB192",-33.53959924,115.1130031,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB199",-33.53719702,115.1109986,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB221",-33.52649658,115.0889008,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-GB228",-33.5245989,115.090396,20070303,"Geographe.Bay","Geographe.Bay","Yes"
"MF-INB1-1",-33.6619459,114.9831639,20070306,"Indijup","Capes.South","Yes"
"MF-INB1-2",-33.6612005,114.9816932,20070306,"Indijup","Capes.South","Yes"
"MF-INB1-3",-33.66507734,114.9838673,20070306,"Indijup","Capes.South","Yes"
"MF-INB1-4",-33.66036306,114.9933911,20070306,"Indijup","Capes.South","Yes"
"MF-INB1-5",-33.66203487,114.9864077,20070306,"Indijup","Capes.South","Yes"
"MF-INB2-1",-33.67111649,114.9826155,20070306,"Indijup","Capes.South","Yes"
"MF-INB2-2",-33.6712887,114.9815654,20070306,"Indijup","Capes.South","Yes"
"MF-INB2-3",-33.67096871,114.9829533,20070306,"Indijup","Capes.South","Yes"
"MF-INB2-4",-33.67150656,114.9849682,20070306,"Indijup","Capes.South","Yes"
"MF-INB2-5",-33.66978382,114.9832829,20070306,"Indijup","Capes.South","Yes"
"MF-INB3-1",-33.68479838,114.975069,20070306,"Indijup","Capes.South","Yes"
"MF-INB3-2",-33.68347354,114.9751108,20070306,"Indijup","Capes.South","Yes"
"MF-INB3-3",-33.68089967,114.973769,20070306,"Indijup","Capes.South","Yes"
"MF-INB3-4",-33.68373952,114.9737347,20070306,"Indijup","Capes.South","Yes"
"MF-INB3-5",-33.68348113,114.9766746,20070306,"Indijup","Capes.South","Yes"
"MF-INB4-1",-33.67111649,114.9826155,20070306,"Indijup","Capes.South","Yes"
"MF-INB4-2",-33.68888923,114.9693962,20070306,"Indijup","Capes.South","Yes"
"MF-INB4-3",-33.68851061,114.9737953,20070306,"Indijup","Capes.South","Yes"
"MF-INB4-4",-33.68996345,114.969468,20070306,"Indijup","Capes.South","Yes"
"MF-INB4-5",-33.68702764,114.9696989,20070306,"Indijup","Capes.South","Yes"
"MF-INB5-1",-33.69801017,114.9641975,20070306,"Indijup","Capes.South","Yes"
"MF-INB5-2",-33.69834979,114.961827,20070306,"Indijup","Capes.South","Yes"
"MF-INB5-3",-33.69440774,114.9611865,20070306,"Indijup","Capes.South","Yes"
"MF-INB5-4",-33.70041244,114.9666114,20070306,"Indijup","Capes.South","Yes"
"MF-INB5-5",-33.69770443,114.969178,20070306,"Indijup","Capes.South","Yes"
"MF-INB6-1",-33.71100746,114.9605892,20070306,"Indijup","Capes.South","Yes"
"MF-INB6-2",-33.71137116,114.9591348,20070306,"Indijup","Capes.South","Yes"
"MF-INB6-3",-33.71215023,114.9604435,20070307,"Indijup","Capes.South","Yes"
"MF-INB6-4",-33.70926616,114.959983,20070306,"Indijup","Capes.South","Yes"
"MF-INB6-5",-33.71164354,114.9619768,20070306,"Indijup","Capes.South","No"
"MF-INB7-1",-33.71843844,114.9655605,20070307,"Indijup","Capes.South","Yes"
"MF-INB7-2",-33.71646726,114.9635892,20070307,"Indijup","Capes.South","Yes"
"MF-INB7-3",-33.71996323,114.964521,20070307,"Indijup","Capes.South","Yes"
"MF-INB7-4",-33.7202064,114.9661446,20070307,"Indijup","Capes.South","Yes"
"MF-INB7-5",-33.71836314,114.9702993,20070307,"Indijup","Capes.South","Yes"
"MF-WC002",-33.70050024,114.9150956,20070307,"West.Coast","Capes.South","Yes"
"MF-WC003",-33.699801,114.9433018,20070307,"West.Coast","Capes.South","Yes"
"MF-WC004",-33.6999025,114.9685005,20070306,"West.Coast","Capes.South","Yes"
"MF-WC005",-33.69880426,114.9403049,20070307,"West.Coast","Capes.South","Yes"
"MF-WC007",-33.69289754,114.952204,20070307,"West.Coast","Capes.South","Yes"
"MF-WC008",-33.69239772,114.9422054,20070307,"West.Coast","Capes.South","Yes"
"MF-WC009",-33.69260126,114.9747025,20070306,"West.Coast","Capes.South","Yes"
"MF-WC010",-33.69020254,114.9274041,20070307,"West.Coast","Capes.South","Yes"
"MF-WC011",-33.6899971,114.9632971,20070306,"West.Coast","Capes.South","Yes"
"MF-WC013",-33.6897994,114.976505,20070306,"West.Coast","Capes.South","Yes"
"MF-WC014",-33.68969985,114.9830981,20070306,"West.Coast","Capes.South","Yes"
"MF-WC016",-33.68740412,114.9509968,20070307,"West.Coast","Capes.South","Yes"
"MF-WC017",-33.68669811,114.9319,20070307,"West.Coast","Capes.South","Yes"
"MF-WC020",-33.68180413,114.9668017,20070306,"West.Coast","Capes.South","Yes"
"MF-WC021",-33.68010366,114.9166992,20070307,"West.Coast","Capes.South","Yes"
"MF-WC022",-33.68039839,114.9783971,20070306,"West.Coast","Capes.South","Yes"
"MF-WC023",-33.67869871,114.9056026,20070307,"West.Coast","Capes.South","Yes"
"MF-WC025",-33.67759945,114.9639023,20070306,"West.Coast","Capes.South","Yes"
"MF-WC026",-33.67779775,114.9859,20070306,"West.Coast","Capes.South","Yes"
"MF-WC027",-33.67720298,114.9683013,20070306,"West.Coast","Capes.South","Yes"
"MF-WC029",-33.6749037,114.9705017,20070306,"West.Coast","Capes.South","Yes"
"MF-WC030",-33.67439949,114.9595991,20070306,"West.Coast","Capes.South","Yes"
"MF-WC031",-33.67409648,114.9620005,20070306,"West.Coast","Capes.South","Yes"
"MF-WC033",-33.6716033,114.9389048,20070307,"West.Coast","Capes.South","Yes"
"MF-WC034",-33.67030092,114.974104,20070226,"West.Coast","Capes.South","Yes"
"MF-WC035",-33.66939715,114.9085027,20070307,"West.Coast","Capes.South","Yes"
"MF-WC036",-33.66799763,114.9859991,20070226,"West.Coast","Capes.South","Yes"
"MF-WC038",-33.66699951,114.9823019,20070226,"West.Coast","Capes.South","Yes"
"MF-WC039",-33.66620054,114.9726041,20070226,"West.Coast","Capes.South","Yes"
"MF-WC040",-33.66439755,114.981996,20070226,"West.Coast","Capes.South","Yes"
"MF-WC041",-33.66300007,114.9698971,20070226,"West.Coast","Capes.South","Yes"
"MF-WC042",-33.66169785,114.9197958,20070307,"West.Coast","Capes.South","Yes"
"MF-WC043",-33.66240417,114.9736961,20070226,"West.Coast","Capes.South","Yes"
"MF-WC044",-33.660202,114.9113024,20070307,"West.Coast","Capes.South","Yes"
"MF-WC045",-33.66210075,114.9899,20070226,"West.Coast","Capes.South","Yes"
"MF-WC046",-33.6606043,114.9613052,20070307,"West.Coast","Capes.South","Yes"
"MF-WC047",-33.65739869,114.9086961,20070307,"West.Coast","Capes.South","Yes"
