"sample","maxn.analyst","curtin.observer","successful.count","latitude","longitude","commonwealth.zone","state.zone","status","priority"
"65","Hayley","Lauren","Yes",-33.3597167,115.2047667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"66","","N/A","No",NA,NA,NA,NA,NA,NA
"67","Hayley","Lauren","Yes",-33.4783167,115.0859333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"68","","Lauren","",-33.3881667,115.2426,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"69","Hayley","Lizzy","Yes",-33.3534333,115.4040333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"70","Hayley","Lauren","Yes",-33.4158833,115.1513667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"71","Logan","Lizzy","Yes",-33.4270833,115.4286667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"72","Hayley ","Lizzy","Yes",-33.4624833,115.32235,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"73","Hayley","Lauren","Yes",-33.3718,115.1456,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"74","","N/A","No",NA,NA,NA,NA,NA,NA
"75","Hayley","Lauren","Yes",-33.5893333,115.29455,"Multiple Use Zone",NA,"Fished",NA
"76","Hayley","Lizzy","Yes",-33.41295,115.2846833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"77","Hayley","Lauren","Yes",-33.45575,115.1029,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"78","Logan","Lauren","Yes",-33.5076,115.4437667,"Multiple Use Zone",NA,"Fished",NA
"79","Hayley","Lauren","Yes",-33.5874,115.2308833,"Habitat Protection Zone",NA,"Fished",NA
"80","Hayley","Lauren","No",-33.3515833,115.5195333,NA,NA,NA,NA
"81","Hayley","Laura","Yes",-33.3788167,115.23045,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"82","Hayley","laura","Yes",-33.3955167,115.1102833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"83","Logan","Lauren","Yes",-33.46935,115.37905,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"84","Hayley","Lizzy","Yes",-33.3964667,115.1924,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"85","","N/A","No",NA,NA,NA,NA,NA,NA
"86","Hayley","Lizzy","Yes",-33.5405167,115.1785167,"Multiple Use Zone",NA,"Fished",NA
"87","Hayley","Lauren","Yes",-33.4896,115.4589333,"Multiple Use Zone",NA,"Fished",NA
"88","Hayley","Laura","Yes",-33.5010667,115.2145333,"Multiple Use Zone",NA,"Fished",NA
"89","","Lauren","",-33.3828167,115.0563833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"90","Hayley  ","Laura","Yes",-33.5333167,115.3224833,"Multiple Use Zone",NA,"Fished",NA
"91","Hayley  ","Laura","Yes",-33.5396,115.2060833,"Habitat Protection Zone",NA,"Fished",NA
"92","Hayley  ","Lauren","Yes",-33.4175833,115.3149833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"93","","Laura","",-33.4813167,115.15275,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"94","","","No",NA,NA,NA,NA,NA,NA
"95","Hayley ","Lauren","Yes",-33.5175,115.3155333,"Multiple Use Zone",NA,"Fished",NA
"96","Hayley ","Lauren","Yes",-33.4489,115.4808167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"97","Hayley ","Lizzy","Yes",-33.38465,115.2926667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"98","","Lizzy","",-33.434,115.1726667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"101","","Lizzy","",-33.3885833,115.37675,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"100","","Lauren","",-33.4324833,115.21415,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"102","Hayley","Lizzy","Yes",-33.5185,115.1196,"Multiple Use Zone",NA,"Fished",NA
"103","Hayley","Lauren","Yes",-33.4581167,115.4547167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"104","Hayley","Lauren","Yes",-33.4597333,115.2450667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"106","Logan","laura","Yes",-33.57825,115.3451333,"Multiple Use Zone",NA,"Fished",NA
"105","","","No",NA,NA,NA,NA,NA,NA
"107","Logan","Lizzy","Yes",-33.5833333,115.1881167,"Multiple Use Zone",NA,"Fished",NA
"107","Logan","Lizzy","Yes",-33.5833333,115.1881167,"Multiple Use Zone",NA,"Fished","1"
"107","","Lauren","",-33.5833333,115.1881167,"Multiple Use Zone",NA,"Fished",NA
"107","","Lauren","",-33.5833333,115.1881167,"Multiple Use Zone",NA,"Fished","1"
