"sample","maxn.analyst","curtin.observer","successful.count","latitude","longitude","commonwealth.zone","state.zone","status","priority"
"879","","Laura","",-33.6168833,115.1828667,NA,NA,"Fished",NA
"874","","N/A","No",NA,NA,NA,NA,NA,NA
"880","","Laura","",-33.53655,115.4444,NA,NA,"Fished",NA
"1038","Daphne","Laura","",-33.5333333,115.4200167,"Multiple Use Zone",NA,"Fished",NA
"1108","","Laura","",-33.5580167,115.41435,NA,"East Geographe Bay Sanctuary Zone","No-take",NA
"10000","","Lauren","",-33.4135833,115.3645833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"10001","Logan","Lauren","Yes",-33.4217167,115.3722167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"10002","","Lauren","",-33.4234167,115.3889333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"10004","","Lauren","",-33.4039167,115.3976,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"10003","","Lauren","",-33.4213,115.35935,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","1"
"10005","","Laura","",-33.4777667,115.3694,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"10005","","Laura","",-33.4777667,115.3694,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"10005","","Laura","",-33.4777667,115.3694,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"10005","","Laura","",-33.4777667,115.3694,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
" ","","Lauren","",NA,NA,NA,NA,NA,NA
"108(2)","","Laura","",NA,NA,NA,NA,NA,NA
"11R1","","Lizzy","",-33.35885,115.3694,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"11R2","Brooke","Lizzy","Yes",-33.3967333,115.5076167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"11R3","Brooke","Lauren","Yes",-33.41215,115.5204667,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"11R4","Brooke","Lauren","Yes",-33.4197,115.51755,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"12RC1","Logan","Laura","Yes",-33.5932167,115.2132833,"Habitat Protection Zone",NA,"Fished",NA
"12RC2","Daphne","Lauren","",-33.5916,115.23785,"Multiple Use Zone",NA,"Fished",NA
"12RC3","Daphne","Lauren","",-33.5914667,115.24145,"Multiple Use Zone",NA,"Fished",NA
"12RC4","","N/A","No",NA,NA,NA,NA,NA,NA
"12RC5","Daphne","Lizzy","",-33.5621333,115.3443,"Multiple Use Zone",NA,"Fished",NA
"12RC6","Logan","laura","Yes",-33.5711,115.3481333,"Multiple Use Zone",NA,"Fished",NA
"12RC7","Logan","laura","Yes",-33.5118,115.41785,"Multiple Use Zone",NA,"Fished",NA
"12RC8","Logan","laura","Yes",-33.5148667,115.41815,"Multiple Use Zone",NA,"Fished",NA
"12RC9","","Lauren","",-33.5162167,115.4064167,"Multiple Use Zone",NA,"Fished","1"
"13RC1","Logan","Lauren","Yes",-33.5059833,115.43075,"Multiple Use Zone",NA,"Fished",NA
"13RC10","","N/A","No",NA,NA,NA,NA,NA,NA
"13RC11","Logan","Laura","Yes",-33.3740333,115.36925,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC12","Logan","Laura","Yes",-33.3743667,115.3668167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC13","","Lizzy","",-33.3754833,115.3631167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished","2"
"13RC14","","N/A","No",NA,NA,NA,NA,NA,NA
"13RC15","Logan","Laura","Yes",-33.3768333,115.3559333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC2","(opcode sheet says: 87)","Lizzy","",-33.49485,115.45595,"Multiple Use Zone",NA,"Fished",NA
"13RC3","(opcode sheet says: 791)","Lauren","",-33.4839333,115.45155,"Multiple Use Zone",NA,"Fished",NA
"13RC4","Logan","Lizzy","Yes",-33.4993833,115.3964667,"Multiple Use Zone",NA,"Fished",NA
"13RC5","Daphne","Lizzy","",-33.4839333,115.4656167,"Multiple Use Zone",NA,"Fished",NA
"13RC6","Logan","Lauren","Yes",-33.3809667,115.3892333,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC7","Daphne","Lizzy","",-33.3774333,115.38605,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC8","Logan","Lizzy","Yes",-33.3726,115.3791,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"13RC9","Logan","Lauren","Yes",-33.3730667,115.3747833,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"375(2)","","Lizzy","",NA,NA,NA,NA,NA,NA
"67(2)","","Damo","",NA,NA,NA,NA,NA,NA
"69(2)","","Lizzy","",NA,NA,NA,NA,NA,NA
"GBR-BOB","","Lizzy","",-33.59235,115.2205667,"Habitat Protection Zone",NA,"Fished","2"
"GBR1-1","","Laura","",-33.5936167,115.19625,NA,NA,"Fished",NA
"GBR1-2","Logan","Lizzy","Yes",-33.5936,115.1995333,"Multiple Use Zone",NA,"Fished",NA
"GBR1-3","Logan ","Damon","Yes",-33.5937833,115.2022833,"Habitat Protection Zone",NA,"Fished",NA
"GBR1-4","Logan","Lauren","Yes",-33.59345,115.2055167,"Habitat Protection Zone",NA,"Fished",NA
"GBR2-1","","Laura","",-33.5938333,115.19065,NA,NA,"Fished",NA
"GBR2-2","","Laura","",-33.5940167,115.1883833,NA,NA,"Fished",NA
"GBR2-3","","Lauren","",-33.5940667,115.1864833,NA,NA,"Fished",NA
"GBR2-4","","Lizzy","",-33.59365,115.193,NA,NA,"Fished",NA
"GBR3-1","","Lauren","",-33.5944667,115.1819333,NA,NA,"Fished",NA
"GBR3-2","","Lauren","",-33.59365,115.193,NA,NA,"Fished",NA
"GBR3-3","","Lizzy","",-33.59365,115.1839667,NA,NA,"Fished",NA
"GBR3-4","","Lauren","",-33.5938667,115.1851,NA,NA,"Fished",NA
"GBR4-1","Logan","Damon","Yes",-33.5933333,115.2080833,"Habitat Protection Zone",NA,"Fished",NA
"GBR4-2","Hayley","Lauren","Yes",-33.5928333,115.2102333,"Habitat Protection Zone",NA,"Fished",NA
"GBR5-1","Hayley","Laura","Yes",-33.5932167,115.2119333,"Habitat Protection Zone",NA,"Fished",NA
"GBR5-2","Hayley","Laura","Yes",-33.5927333,115.2148,"Habitat Protection Zone",NA,"Fished",NA
"GBR5-3","Logan ","Lizzy","Yes",-33.5924167,115.2175167,"Habitat Protection Zone",NA,"Fished",NA
"RB1","Hayley ","Lizzy","Yes",-33.53455,115.2176667,"Multiple Use Zone",NA,"Fished",NA
"RB2","Hayley ","Lizzy","Yes",-33.5085667,115.2254833,"Multiple Use Zone",NA,"Fished",NA
"RC1","Hayley ","Laura","Yes",-33.4628,115.23995,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"RC2","Hayley ","Lizzy","Yes",-33.48635,115.1780333,"Multiple Use Zone",NA,"Fished",NA
"RC3","Hayley ","Lauren","Yes",-33.4704833,115.1684167,"Special Purpose Zone (Mining Exclusion)",NA,"Fished",NA
"RC3(2)","","Lauren","",NA,NA,NA,NA,NA,NA
