"","campaign_name","dataset_name","image_name","latitude","longitude","image_url","image_width","image_height"
"1","2014TowedVideo","LGBDT1","LGBDT1_0030.jpeg",-33.59071667,115.10515,NA,1920,1080
"2","2014TowedVideo","LGBDT1","LGBDT1_0045.jpeg",-33.5903,115.1055,NA,1920,1080
"3","2014TowedVideo","LGBDT1","LGBDT1_0069.jpeg",-33.5897,115.1067,NA,1920,1080
"4","2014TowedVideo","LGBDT1","LGBDT1_0086.jpeg",-33.58918333,115.1073,NA,1920,1080
"5","2014TowedVideo","LGBDT1","LGBDT1_0088.jpeg",-33.5891,115.1073833,NA,1920,1080
"6","2014TowedVideo","LGBDT1","LGBDT1_0104.jpeg",-33.58868333,115.1079333,NA,1920,1080
"7","2014TowedVideo","LGBDT1","LGBDT1_0109.jpeg",-33.5885,115.1081333,NA,1920,1080
"8","2014TowedVideo","LGBDT1","LGBDT1_0116.jpeg",-33.58828333,115.1083667,NA,1920,1080
"9","2014TowedVideo","LGBDT1","LGBDT1_0126.jpeg",-33.58793333,115.1087333,NA,1920,1080
"10","2014TowedVideo","LGBDT1","LGBDT1_0128.jpeg",-33.58785,115.1088167,NA,1920,1080
"11","2014TowedVideo","LGBDT1","LGBDT1_0130.jpeg",-33.58778333,115.1089167,NA,1920,1080
"12","2014TowedVideo","LGBDT1","LGBDT1_0134.jpeg",-33.58768333,115.1090667,NA,1920,1080
"13","2014TowedVideo","LGBDT1","LGBDT1_0138.jpeg",-33.58753333,115.1092,NA,1920,1080
"14","2014TowedVideo","LGBDT1","LGBDT1_0139.jpeg",-33.5875,115.10925,NA,1920,1080
"15","2014TowedVideo","LGBDT1","LGBDT1_0146.jpeg",-33.58726667,115.1095,NA,1920,1080
"16","2014TowedVideo","LGBDT1","LGBDT1_0148.jpeg",-33.58718333,115.1096167,NA,1920,1080
"17","2014TowedVideo","LGBDT1","LGBDT1_0154.jpeg",-33.58696667,115.1098833,NA,1920,1080
